period,share.low50,share.top99
2002,0.127713742057598,0.134871434934497
2005,0.13022970001742,0.13347870918925
2008,0.120768252628705,0.152562233918459
2011,0.113116939027438,0.167601858331677
2014,0.0772786081968509,0.203242317333224
2017,0.0720331728207245,0.209227012426309
2020,0.0710638614576632,0.228358002316577
2022,0.0728712496438992,0.210906475599771
