bage,nprops,se
1,0.858217567835233,0.0414897929298754
2,1.23769617458901,0.086635040707956
3,1.41056896956091,0.0545461153145311
4,1.74859463676565,0.116810228338119
5,1.6209718433506,0.130112624772022
6,1.25547090926753,0.0633779178581717
1,0.833072086417133,0.0483478756636947
2,1.20388938601629,0.052461118055332
3,1.55776480815163,0.0619184693326788
4,1.79070640435478,0.0669240146996248
5,1.66104827509294,0.0959619431307104
6,1.35214195098097,0.0651739432563963
1,0.934865867853745,0.0691908683765285
2,1.24018490968546,0.0793024515861365
3,1.49578433648542,0.0539574002562582
4,1.82719209973089,0.0884390044058614
5,1.77274377821723,0.0970265507277855
6,1.30829995772524,0.0404365048181259
1,0.982862610030406,0.0562024357804801
2,1.26623993110189,0.111226356947243
3,1.5426396164346,0.0592513591471
4,1.9348462712043,0.0717882590031692
5,1.77047849063668,0.0804057121293724
6,1.57520905666961,0.0578999978125621
1,0.768479176341267,0.07013425772425
2,1.14724026782433,0.0409776428760913
3,1.5645433273095,0.0866395106845548
4,1.97914149261247,0.112522941491634
5,2.07129792295883,0.104526362099462
6,1.67880113933444,0.0830796632846396
1,0.808750882077826,0.112848252626885
2,1.28293808575809,0.0710819646824481
3,1.65031056072155,0.0717865573341778
4,2.17521920191423,0.113128381024804
5,2.32614468651645,0.115365824903359
6,1.98006301560358,0.10125696719965
1,0.682150055412948,0.0676138150113305
2,1.24846947914835,0.0738984096102425
3,1.74774289101207,0.130368947455421
4,2.02536606034822,0.0727365560083927
5,2.46252674619421,0.134874074885601
6,2.68543573946974,0.32217609615888
1,0.560281312898736,0.0691505686020019
2,1.32181596116469,0.0830039514179824
3,2.03727693387821,0.187239151214653
4,2.18091845719991,0.0952275875379563
5,2.686750731937,0.17410952908596
6,3.34411330566846,0.612642338065249
