h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1,2391.65312704918,2,1,2,1,2,198147.4,,3000,15025.3,2,2,2,50000,,,,4,1,1,0,71040.9294,6,2,6,1,1,1,1,0,0,0,1,1,0,29553.2,,0,0,0,12020.24,0,0,1,12020.24,0,0,1,10912,0,0,0,0,1,22932.24,10912,186127.16,50000,277700.6,254768.36,3,0,10912,0,629,14400,21600,1,7000,1,16502.53,1,1,1,4,1,2,296,198147.4,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,0,12020.24,0,0
2,125.619213073917,2,,1,1,2,180970.2,,1803.04,31939.6,2,2,2,49013.8,,133618.6,,2,1,1,1,58737.754,5.2,5,6,2,0,0,1,1,0,0,1,1,162273.27,0,,341165.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343243.47,523798,867041.47,867041.47,4.8,0,0,0,0,9117.6,8882.4,0,0,1,18030.36,1,0,1,6,1,2,0,180970.2,,0,2,1,1,,1,4,,,2,0,,,,0,,2,2,40568.3175,0,,,,5482.4,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,133618.6,0,1,0
3,2366.67264451711,2,,2,2,2,480809.68,,,24334.2,2,2,2,5029.8,,,,2,1,1,0,28472.2868,3,4,5,2,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480809.68,5029.8,485839.48,485839.48,4,0,0,0,0,3600,2400,0,0,1,12020.24,1,1,2,9,1,2,0,480809.68,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
4,2661.20798917562,2,1,2,1,2,210354.24,,500,12020.24,2,2,2,6000,,,,4,1,1,0,10961.09,2,4,1,3,2,0,1,0,1,0,1,1,0,0,,0,1200,0,18030.36,0,0,1,18030.36,0,0,1,24040.48,0,0,0,0,1,42070.84,24040.48,192323.88,7200,217554.24,175483.4,2,24040.48,0,0,390,6000,7200,0,0,1,3000,0,1,1,11,1,2,200,210354.24,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,18030.36,0,1200
5,2461.22109402528,2,,2,1,2,120202.42,,360.61,16659.2,2,2,2,4180.8,,,,4,1,1,0,54192.7904,4.6,3,1,3,3,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,1,23585.16,1,2589.8,0,0,0,0,1,26174.96,26174.96,120202.42,4180.8,124383.22,98208.26,2,0,2589.8,23585.16,352.8,13422.1917480469,6377.80825195313,1,3606.07,1,3606.07,1,1,2,4,1,2,0,120202.42,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
6,529.173586375361,2,,2,2,2,152379.4,,,9015.18,2,2,2,1800,,,,1,1,1,0,15904.8838,2,4,5,2,0,0,1,1,0,0,1,1,0,0,,9958.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152379.4,11758.2,164137.6,164137.6,2.2,0,0,0,0,4677.6,4497.6,0,0,1,3606.07,1,1,1,9,1,2,0,152379.4,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
7,4898.94067646048,1,,2,1,2,,,500,2868.6,2,2,2,1000,,,,2,0,1,0,24888,3,1,1,2,2,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,12000,0,0,0,0,1,12000,12000,0,1000,1000,-11000,1,0,12000,0,400,4800,1200,1,13000,1,10000,1,1,2,6,,1,0,,,0,,,,,,,,,,0,,,,1,200,1,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
8,13.7465677027837,1,,2,2,2,,,,6000,2,2,2,6000,,,,3,0,1,0,17732.7,2,4,6,1,2,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,6000,1,0,0,0,0,3600,1200,0,0,0,0,1,1,1,2,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,2,2,1,0,0,0,0
9,2481.09235796417,1,,2,2,2,,,,12000,2,2,2,,,,,3,0,0,0,22845.9396,3,2,4,2,0,0,0,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,480.81,0,0,0,0,1,480.81,480.81,0,0,0,-480.81,1,0,0,480.81,80.0499992370606,3245.51989746094,2884.79992675781,0,0,0,0,1,1,1,6,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,0,1,0,0,0,0,0,,0,,2,,,0,0,0,0
10,234.829604798867,2,2,1,2,2,330556.66,,,30050.61,1,2,2,6000,12000,,,3,1,1,0,144475.6696,6,5,6,2,2,1,1,0,1,0,1,1,408688.23,60101.21,,0,68000,0,0,1,42000,0,0,0,0,1,4000,0,0,0,0,1,46000,4000,697244.89,86000,885346.1,839346.1,5,0,4000,0,375,14400,6000,1,9500,1,21035.42,0,0,1,6,1,2,0,330556.66,2,0,3,1,1,1,1,8,8,8,2,841.419982910156,6010.12,,,0,,2,2,102172.0575,165,0,,,,0,1,0,0,0,0,0,0,2,2,2,2,1,1,2,3,12000,42000,1,68000
11,333.070172799889,2,,1,1,2,300506.05,,9616.19,24040.48,2,2,1,24040.48,,,120202.42,3,1,1,0,33807.24737,4,6,6,1,0,0,1,0,0,0,1,1,180303.63,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480809.68,144242.9,625052.58,625052.58,5,0,0,0,0,6600,7800,0,0,1,40868.82,1,0,1,4,1,2,0,300506.05,,0,1,1,,,1,,,,2,0,,,,0,,2,2,45075.9075,0,,,9616.19034375,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,,,120202.42,0,1,0
12,6.2696543262212,2,,1,2,1,1382327.84,36817.4,,118067,2,2,2,17550.8,,,,5,1,1,0,124033.9108,5.8,3,6,3,2,0,1,0,0,0,1,1,704469.27,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2086797.11,17550.8,2141165.31,2141165.31,5,0,0,0,0,18667.2,29332.8,0,0,1,19133.6,1,0,2,12,1,2,0,1382327.84,,0,2,1,1,,1,1,,,2,600,7212.15,,,0,,2,2,176117.3175,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,2,,,0,0,1,0
13,1924.88684895511,1,,2,2,2,,,,4207.08,2,2,2,100,,,,4,0,1,0,23687.9836,3,3,1,1,2,0,0,1,1,0,1,1,0,0,,1202.02,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.02,2022.02,2022.02,1,0,0,0,0,4800,3600,0,0,0,0,0,1,2,2,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,0,0,720
14,22.6209116752228,2,,1,2,2,360000,,,23589.2,1,1,2,181367.6,1279501.4,180303.63,,2,1,1,1,135928.3008,6,5,6,3,0,0,1,0,0,0,1,1,1893188.13,0,220240.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2253188.13,1861413.03,4114601.16,4114601.16,5,0,0,0,0,10725.6,25876.8,0,0,1,10000,1,0,1,10,2,2,0,360000,,0,5,1,1,1,1,1,1,1,2,0,18030.36,,,0,,2,2,473297.0325,0,300.51,,,601.01,0,0,0,1,0,0,0,0,0,0,1,0,1,2,,,1680045.43,0,1,0
15,134.239798242808,2,,1,2,2,180303.63,,,108182.18,2,2,2,8499.2,,,,2,1,1,0,50358.56586,5,6,5,3,0,0,1,1,0,0,1,1,1080910.89,0,,20878.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261214.52,29378,1290592.52,1290592.52,5,0,0,0,0,9303.4801574707,12333.0003112793,0,0,1,901.52,1,0,1,12,1,2,0,180303.63,,0,6,1,1,1,1,1,1,1,4,2524.25997924805,25843.52,,,0,,2,2,270227.7225,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
16,267.750739894509,2,2,1,1,2,192323.87,,340,5409.11,1,2,2,50000,3e+05,,,3,1,1,0,50483.234,5,6,5,2,0,0,1,0,0,0,1,1,429723.66,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622047.53,350000,972047.53,972047.53,5,0,0,0,0,10200,4200,0,0,0,0,1,0,1,6,1,2,0,192323.87,2,0,5,1,1,1,1,1,97,97,4,959.060001373291,9600,,,0,,2,2,107430.915,0,7472,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,3e+05,0,1,0
17,139.7541684012,2,,1,2,1,360607.26,1202.02,,30050.61,1,2,2,120202.42,150253.03,,,3,1,1,0,72296.9438,6,4,2,3,2,1,1,0,1,0,1,1,520708.47,330556.66,,0,72121.46,0,0,0,0,0,0,0,0,0,0,0,0,1,6010.12,1,6010.12,6010.12,881315.73,342576.91,1555651.32,1549641.2,5,0,0,6010.12,712,7212.1201171875,18030.3603515625,0,0,1,18030.36,0,0,1,12,1,2,0,360607.26,,0,3,1,1,2,1,8,1,1,5,1682.83001708984,12020.24,,,0,,2,,130177.1175,0,4207.08,,,,1,1,0,0,0,0,0,0,2,2,1,1,,1,2,1,150253.03,0,1,72121.46
18,214.143569717009,2,1,1,2,1,480809.68,1803.04,,12020.24,1,2,2,9000,300,,,2,1,1,0,246345.572,6,4,1,1,1,0,1,1,0,0,1,1,300506.05,0,,6000,0,0,170000,0,0,1,170000,1,3005.06,0,0,0,0,0,0,1,173005.06,3005.06,611315.73,15300,798418.77,625413.71,5,0,3005.06,0,1017,4800,2400,0,0,1,9015.18,1,0,1,2,1,2,812,480809.68,1,0,1,1,,,1,,,,2,0,,,,0,,2,2,75126.5125,0,0,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,300,170000,1,0
19,3300.33801102018,2,1,2,1,2,150253.03,,1202.02,24040.48,2,2,2,90,,500,,2,1,1,1,23021.4,3,1,1,2,1,0,1,0,0,0,1,1,0,0,,0,0,0,82939.67,0,0,1,82939.67,0,0,0,0,0,0,1,500,1,83439.67,500,67313.36,590,150843.03,67403.36,1.2,0,0,500,440.660003662109,3600,6000,0,0,1,5409.11,1,1,2,5,1,2,390.660003662109,150253.03,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,0,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,500,82939.67,0,0
20,3414.44583495918,1,,1,1,2,,,1000,3000,2,2,2,275,,,,1,0,1,0,5973.12,1,5,5,1,0,0,1,0,0,0,1,1,240404.84,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404.84,275,240679.84,240679.84,3,0,0,0,0,2400,600,0,0,0,0,1,0,1,2,,1,0,,,0,1,1,,,1,,,,97,0,,,,0,,1,,60101.21,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
21,5007.30476833472,2,2,2,1,2,300506.05,,3000,15025.3,2,2,2,15000,,,,1,1,1,0,8807.241,1.2,4,4,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506.05,15000,315506.05,315506.05,4,0,0,0,0,2700,5100,0,0,1,2000,1,1,2,2,1,2,0,300506.05,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
22,2696.55037167329,2,,2,2,2,270455.45,,,30050.61,2,2,2,11118.72,,,,2,1,1,0,5703.5,1,5,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270455.45,11118.72,281574.17,281574.17,3,0,0,0,0,4800,2400,0,0,1,9015.18,1,1,1,2,1,2,0,270455.45,,0,,,,,,,,,,0,,,,0,,1,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
23,25.5925554539546,2,2,1,2,1,784954.6,6010.12,,90151.82,1,2,2,90151.82,90151.82,,,3,1,1,0,194541.2,6,2,6,3,2,1,1,1,0,1,1,1,4808096.84,2584352.05,,40339.8,0,15025.3,0,1,30050.61,0,0,1,210354.24,0,0,0,0,0,0,1,240404.85,210354.24,5563000.83,235668.74,8419082.35,8178677.5,5,0,0,210354.24,6155.8,8400,3600,0,0,1,14424.29,1,0,1,12,1,2,0,784954.6,2,0,19,1,1,2,5,1,1,1,3,4808.09008789063,120000,,,0,,2,2,1202024.21,3175.8,4075,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,2,2,4,90151.82,30050.61,1,0
24,148.15901126368,2,2,1,1,2,420708.47,,250,30000,1,2,2,10267.2,27045.54,35000,,4,1,1,1,178576.585,6,5,2,3,2,0.8,1,0,1,0,1,1,180303.63,27286.6,,0,48204.2,0,0,0,0,0,0,0,0,1,27045.54,0,0,0,0,1,27045.54,27045.54,601012.1,120516.94,748815.64,721770.1,5,27045.54,0,0,57,7200,10800,0,0,1,6000,0,0,1,12,1,2,0,420708.47,2,0,1,2,,,6,,,,3,0,,,,0,,2,2,45075.9075,0,600,,,2394.6,0,1,0,0,0,0,0,0,2,2,2,1,,1,2,1,62045.54,0,1,48204.2
25,7064.86967693404,2,2,2,2,2,168283.39,,,2404.05,2,2,2,25000,,,,5,1,1,0,51086.3528354297,5,5,5,1,3,0,1,0,1,0,1,1,0,0,,0,3005.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168283.39,28005.06,196288.45,196288.45,3,0,0,0,0,7920,16080,0,0,1,21035.42,0,1,1,2,1,2,0,168283.39,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,,,0,0,0,3005.06
26,2895.15507088453,1,,1,2,2,,,,15035.8,2,2,2,27133.4,,,,5,0,1,0,35820.6762,4,1,6,1,2,0.8,1,0,1,0,1,1,230518.8,73093.2,,0,1072.8,0,0,1,69138.6,0,0,0,0,0,0,0,0,0,0,1,69138.6,0,161380.2,28206.2,331818.2,262679.6,3,0,0,0,800,6000,3600,0,0,1,9716.4,0,0,2,2,,1,0,,,0,1,1,,,1,,,,7,0,,,,0,,2,,57629.7,800,,,,,0,1,0,0,0,0,0,0,2,2,1,1,1,1,2,1,0,69138.6,1,1072.8
27,5049.40452578745,2,2,1,1,2,240404.84,,500,30050.61,2,2,2,3005.06,,,,3,1,1,0,63571.45988,6,2,1,2,2,0,1,1,1,0,1,1,27045.54,0,,15025.3,27253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267450.38,45283.36,312733.74,312733.74,4,0,0,0,0,7212.1201171875,18030.3603515625,0,0,1,19232.39,0,0,1,6,1,2,0,240404.84,2,0,1,1,,,4,,,,5,0,,,,0,,2,2,6761.385,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,0,1,27253
28,172.731985168071,2,2,2,1,1,601012.1,48080.97,721.21,120202.42,1,1,2,90000,3e+05,18000,,2,1,1,1,238274.9121,6,3,6,3,2,0,1,1,1,0,1,1,0,0,12000,27045.54,174293.51,0,0,0,0,0,0,0,0,1,21035.42,0,0,0,0,1,21035.42,21035.42,601012.1,621339.05,1270432.12,1249396.7,5,21035.42,0,0,300,14400,15600,0,0,1,21035.42,0,1,1,12,1,2,0,601012.1,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,9000,,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,,,330000,0,0,174293.51
29,2048.46805109681,2,2,1,1,1,120202.42,601.01,390.66,4808.1,2,1,2,,,,,2,1,0,0,10066.77083,1,6,6,1,0,0,1,1,0,0,1,1,150253.03,0,24000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270455.45,60000,331056.46,331056.46,4,0,0,0,0,4320,5124,0,0,0,0,1,0,1,2,1,2,0,120202.42,2,0,1,2,,,3,,,,6,0,,,,0,,2,2,37563.2575,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,,,24000,0,1,0
30,105.149691121512,2,,1,1,1,420708.47,600,200,26151.4,1,2,2,18000,300,,,3,1,1,0,40757.211,4.4,5,5,1,2,1,1,0,1,0,1,1,180303.63,609000,,0,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601012.1,45300,1255912.1,1255912.1,5,0,0,0,0,19200,2400,1,15000,1,15000,0,0,1,2,1,2,0,420708.47,,0,1,1,,,1,,,,4,420.709991455078,5048.5,,,0,,2,2,45075.9075,0,22.8,,,,0,0,0,1,0,0,0,0,0,0,2,0,,1,,,300,0,1,27000
31,4663.70383386803,2,1,2,2,2,60101.21,,,10000,2,2,2,800,,,,3,1,1,0,11614.4,2,2,1,1,2,0,1,0,1,0,1,1,0,0,,0,2924.6,0,3005.06,0,0,0,0,0,0,0,0,0,0,0,0,1,3005.06,0,57096.15,3724.6,63825.81,60820.75,1,0,0,0,188,5400,3000,0,0,1,1131.6,0,1,2,4,2,2,188,60101.21,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,3005.06,0,2924.6
32,5861.86531106628,1,,2,2,2,,,,5000,2,2,2,2000,,,,1,0,1,0,12444,2,1,1,1,1,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,1,0,0,0,0,3600,3600,0,0,0,0,1,1,1,4,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
33,8251.93144280931,2,,2,1,2,300506.05,,460,24040.48,2,2,2,1202.02,,,,5,1,1,0,66231.86264,6,3,2,2,2,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,14015.18,0,0,0,0,1,14015.18,14015.18,300506.05,1202.02,301708.07,287692.89,3,0,14015.18,0,1268.12997436523,4200,600,0,0,1,22237.45,1,1,2,4,2,2,0,300506.05,,0,,,,,,,,,,0,,,,0,,2,1.8,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
34,4113.57167739072,2,1,2,2,2,120202.42,,,4207.08,2,2,2,601.01,,,,2,1,1,0,15581.2361,2,4,6,1,1,1,1,0,0,0,1,1,0,15025.3,,0,0,0,15025.3,0,0,1,15025.3,0,0,0,0,0,0,0,0,1,15025.3,0,105177.12,601.01,135828.73,120803.43,2,0,0,0,535,6000,1200,0,0,1,15025.3,1,1,1,1,1,2,535,120202.42,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,2,2,1,0,15025.3,0,0
35,7595.92774387496,1,,2,2,2,,,,8786.8,2,2,2,20,,,,4,0,1,0,16989.171,2.2,1,1,1,2,0,0,0,0.8,0,1,1,0,0,,0,12514.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12534.6,12534.6,12534.6,1,0,0,0,0,3600,3600,0,0,0,0,1,1,2,4,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
36,34.2739373513925,2,1,1,1,2,1202024.21,,3000,12000,1,2,2,18000,24040.48,601012.1,,5,1,1,1,178804.725,6,3,6,2,2,1,1,0,1,0,1,1,1772985.7,1.2e+07,,0,5000,0,300506.05,1,270455.45,1,300506.05,0,0,0,0,0,0,0,0,1,570961.5,0,2404048.41,648052.58,15623062.49,15052100.99,5,0,0,0,3900,14424.240234375,7212.240234375,1,2500,1,6200,0,0,1,6,1,2,2200,1202024.21,1,0,4,1,1,2,1,1,1,1,4,1600,19200,,,0,,2,2,443246.425,800,120.2,,,0,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,3,625052.58,570961.5,1,5000
37,2228.01138392183,2,1,2,2,2,126212.54,,,18030.36,2,2,2,3124,,,,3,1,1,0,33422.51,4,5,5,1,1,0,1,1,1,0,1,1,0,0,,27048,11396,0,60101.21,0,0,1,60101.21,0,0,0,0,0,0,0,0,1,60101.21,0,66111.33,41568,167780.54,107679.33,2,0,0,0,700,7200,12000,0,0,1,1803.04,0,1,1,2,1,2,700,126212.54,1,0,,,,,,,,,,0,4500,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,,,0,60101.21,0,11396
38,231.717316614396,2,2,1,2,2,300506.05,,,34137.4,1,2,2,72121.45,7000,350965,,5,1,1,1,95404,6,3,6,3,2,1,1,0,1,1,1,1,435733.78,138477,,0,4808.1,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736239.83,440894.55,1315611.38,1315611.38,5,0,0,0,0,8654.52026367188,27406.2004394531,0,0,1,24040.48,0,0,1,10,1,2,0,300506.05,2,0,7,1,1,2,4,1,8,8,3,1581.82002258301,18000,,,0,,2,2,108933.445,0,33.6,,,0,0,1,0,0,0,0,0,0,2,2,2,1,1,1,2,1,357965,0,1,4808.1
39,89.3143455772821,2,,1,1,1,901518.16,24040.48,1202.02,72121.45,2,1,2,270455.45,,,,2,1,1,0,82802.9982,5.6,6,6,3,0,0,1,0,0,0,1,1,661113.31,0,180303.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562631.47,450759.08,2037431.03,2037431.03,5,0,0,0,0,12000,24000,0,0,1,27045.54,1,0,1,12,2,2,0,901518.16,,0,1,1,,,1,,,,2,0,,,,0,,1,2,165278.3275,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,180303.63,0,1,0
40,5608.61010764979,2,2,1,1,1,324546.54,1803.04,550,48080.97,1,2,2,27045.54,24040.48,,,4,1,1,0,117497.9072,6,3,1,3,2,0,1,1,1,0,1,1,210354.24,0,,18030.36,26540.48,0,0,0,0,0,0,0,0,1,6611.13,0,0,0,0,1,6611.13,6611.13,534900.78,95656.86,632360.68,625749.55,5,0,6611.13,0,120.199996948242,2884.79992675781,4315.20007324219,0,0,1,30050.61,0,0,2,10,1,2,0,324546.54,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,52588.56,0,680,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,24040.48,0,1,26540.48
41,1721.16188250476,2,2,1,2,1,360607.26,30050.61,,9015.18,2,2,2,9015.18,,,,2,1,1,0,28395.15474,4,5,5,2,0,0,1,1,0,0,1,1,24040.484,0,,72000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384647.744,81015.18,495713.534,495713.534,4,0,0,0,0,8654.52026367188,5769.71997070313,0,0,1,601.01,1,0,1,7,1,2,0,360607.26,2,0,1,2,,,1,,,,2,0,,,,0,,2,2,30050.605,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
42,2957.79827629276,2,2,2,2,2,210354.24,,,6010.12,2,2,2,12020.24,,,,2,1,1,0,21232.575,3,6,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210354.24,12020.24,222374.48,222374.48,3,0,0,0,0,10800,4800,0,0,0,0,1,1,1,2,1,2,0,210354.24,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
43,125.619213073917,2,2,2,2,2,360607.26,,,15025.3,2,2,2,6010.12,,,,2,1,1,0,12974.944,2,6,5,2,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360607.26,6010.12,366617.38,366617.38,4,0,0,0,0,6000,3600,0,0,0,0,1,1,1,6,1,2,0,360607.26,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
44,132.408170961036,2,,2,2,2,181383.4,,,6529.4,2,2,2,840,,,,2,1,1,0,15773.3922,2,6,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181383.4,840,182223.4,182223.4,2.6,0,0,0,0,6000,5226.59985351563,0,0,1,200,1,1,1,2,1,2,0,181383.4,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
45,16032.6117421817,1,,2,2,2,,,,9836.8,2,2,2,7834.4,,,,5,0,1,0,41890.8594,4.4,1,1,2,3,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7834.4,7834.4,7834.4,1,0,0,0,0,9600,14400,1,5000,1,11868.6,1,1,2,10,,1,0,,,0,,,,,,,,,,0,,,,0,,1,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
46,2151.42902101703,2,,2,2,1,330556.66,3000,,18030.36,2,2,2,300,,,,5,1,1,0,45628,5,3,1,2,3,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,17000,0,0,0,0,1,17000,17000,330556.66,300,333856.66,316856.66,4,17000,0,0,479,14400,21600,0,0,1,3000,1,1,1,6,1,2,0,330556.66,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
47,4197.68146040831,2,2,2,2,2,240404.84,,,24040.48,2,2,2,6000,,,,1,1,1,0,18666,2.8,4,5,2,0,0,1,0,1,0,1,1,0,0,,0,12000,0,0,0,0,0,0,0,0,1,10500,0,0,0,0,1,10500,10500,240404.84,18000,258404.84,247904.84,3,0,0,10500,300,4800,2400,0,0,1,4808.1,0,1,1,6,1,2,0,240404.84,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,,,0,0,0,12000
