h_2005,facine3,p2_1,p2_8,p2_32,p2_69,p2_82,p2_5,p2_84,p2_70,p2_71,p4_10,p4_27,p4_33,p4_7_3,p4_15,p4_24,p4_35,np1,np2_1,np4_5,np4_18,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,havenegval,tienereal,cuentas,penseg,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,deuinvref,deuveh,deubie,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
324,5116.96783871502,2,,2,2,2,162330.2,,,6000,2,2,2,176.8,,,,2,1,1,0,20754.9328,2.8,6,4,1,1,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162330.2,176.8,162507,162507,2.4,0,0,0,0,4675.2,9724.8,0,0,0,0,1,1,2,1,1,2,0,162330.2,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,0,0,0
325,1788.6481698471,3,,1,1,2,,,1803.04,18030.36,2,2,2,21035.42,,,,2,0,1,0,19049.8974,2.4,4,1,1,0,0,1,0,0,0,1,1,5108.6,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5108.6,21035.42,26144.02,26144.02,1,0,0,0,0,5769.71997070313,2163.59985351563,0,0,0,0,1,0,1,2,,3,0,,,0,3,2,2,2,3,3,3,3,6,0,,,,0,,2,,1277.15,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
326,94.2781355640624,2,2,1,2,2,180487.8,,,27243,2,1,2,12020.24,,,,2,1,1,0,37706.06664,4,5,2,3,1,0.6,1,1,0,0,1,1,321145.23,17900.782,12020.24,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501633.03,42040.48,561574.292,561574.292,5,0,0,0,0,4327.31982421875,13703.0405273438,0,0,1,480.81,1,0,1,10,1,2,0,180487.8,2,0,2,1,1,,6,1,,,3,0,,,,0,,2,2,80286.3075,0,,,,,1,1,0,0,0,0,0,0,2,2,1,1,,2,2,1,12020.24,0,1,0
327,143.725127982737,2,,1,1,1,420000,30000,10000,90000,1,1,2,30000,85574.6,,,2,1,1,0,167994,6,3,2,3,2,0,1,1,1,0,1,1,480000,0,50000,72000,91328,0,0,1,52000,0,0,0,0,0,0,0,0,0,0,1,52000,0,848000,328902.6,1258902.6,1206902.6,5,0,0,0,1050,12000,12000,0,0,1,72000,0,0,2,12,2,2,0,420000,,0,2,1,2,,1,1,,,2,0,,,,0,,2,2,120000,1050,579.4,,,,0,1,0,0,0,0,0,0,2,2,2,1,,1,2,1,135574.6,52000,1,91328
328,2335.7809922258,2,,1,1,2,180303.63,,969,21035.42,2,2,2,10467.6,,,,3,1,1,0,22669.2348,3,3,1,1,2,0,1,0,0,0,1,1,180303.63,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360607.26,10467.6,371074.86,371074.86,4,0,0,0,0,9600,4800,1,18030.36,1,15025.3,1,0,1,4,1,2,0,180303.63,,0,1,1,,,3,,,,2,0,,,,0,,2,2,45075.9075,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
329,2916.14191060276,3,,1,2,2,,,,18030.36,2,2,2,6000,,,,3,0,1,0,25468.72,3,4,1,2,1,0,1,1,1,0,1,1,75126.51,0,,5000,3572.4,0,0,0,0,0,0,0,0,1,6500,0,0,0,0,1,6500,6500,75126.51,14572.4,89698.91,83198.91,2,0,6500,0,308,12000,2400,1,19000,1,12000,0,0,1,8,,3,0,,,0,2,1,2,,1,1,,,2,0,,,,0,,1,,18781.6275,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,0,1,3572.4
330,117.13555852147,2,,1,2,2,90151.82,,,30050.61,1,1,2,3000,60101.21,,,3,1,1,0,67405,6,4,5,1,0,0,1,0,0,0,1,1,4206578.68,0,60000,0,0,0,0,1,4e+05,0,0,0,0,0,0,0,0,0,0,1,4e+05,0,3896730.5,123101.21,4419831.71,4019831.71,5,0,0,0,3000,7200,2400,1,60101.21,1,66311.33,1,0,1,2,1,2,0,90151.82,,0,3,1,1,1,1,1,3,3,4,5500,45000,,,0,,2,2,1051644.67,0,1000,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,120101.21,4e+05,1,0
331,24.595309768749,2,,2,2,2,60101.21,,,6000,2,2,2,4157.4,,,,2,1,1,0,9851.5,1,4,5,1,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60101.21,4157.4,64258.61,64258.61,1,0,0,0,0,4800,3600,0,0,0,0,1,1,1,2,1,2,0,60101.21,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
332,5628.80076212414,1,,1,2,1,,2101.8,,26009.2,2,2,2,1200,,,,2,0,1,0,14299.8152,2,5,6,1,1,0,1,0,0,0,1,1,240404.84,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240404.84,1200,243706.64,243706.64,3,0,0,0,0,6000,6000,0,0,0,0,1,0,2,4,,1,0,,,0,1,2,,,1,,,,2,0,,,,0,,2,,60101.21,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,0,0,1,0
333,124.423045332496,2,2,2,2,2,240404.84,,,12020.24,2,2,2,19373.8,,,,5,1,1,0,61686.7746,5.6,3,4,1,2,1,1,0,0,0,1,1,0,213337.8,,0,0,0,0,0,0,0,0,1,21820,0,0,0,0,0,0,1,21820,21820,240404.84,19373.8,473116.44,451296.44,4.2,21820,0,0,300,7200,4800,0,0,1,18030.36,1,1,2,1,1,2,0,240404.84,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,0,0,0
