h_number,facine3,p2_1,p2_5,p2_8,p2_32,p2_69,p2_70,p2_71,p2_82,p2_84,p4_7_3,p4_10,p4_15,p4_24,p4_27,p4_33,p4_35,renthog,percrent,bage,nsitlabdom,neducdom,np2_1,nnumadtrab,np1,valhog,havenegval,tienereal,np4_5,np4_18,cuentas,penseg,sideuda,tienefin,tiene,otraspr,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,otrasd,potrasd,adeuda,vdeuda,actreales,actfinanc,riquezabr,riquezanet,percriq,deuveh,deubie,deuinvref,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1,4557.57081899387,2,120000,1,2,2,,3600,2,,1500,2,,,2,2,,30540.4,3.4,3,1,1,1,1,4,0,0,1,1,0,0,1,0,1,1,0,0,0,1081,0,30000,0,0,1,30000,0,0,0,0,0,0,1,30000,90000,2581,122581,92581,2,0,0,0,372,4320,10080,0,0,1,3000,0,1,1,2,1,2,372,120000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,30000,0,1081
2,144.482336283186,3,,,1,2,,9000,2,,3716.8,1,3600,108084.4,1,2,,25562.6,3,2,4,2,0,1,3,240000,1,1,1,1,0.2,0,0,1,1,150000,4800,263,0,0,0,0,0,0,0,1,44089.4,0,0,0,0,1,44089.4,150000,120464.2,510464.2,466374.8,5,0,0,44089.4,900,7200,7200,0,0,1,3700,1,0,2,3,,3,0,,,0,1,1,,,5,,,,4,900,1100,,,0,,2,,37500,0,61.6,,,0,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,116484.4,0,1,0
3,212.477871369805,2,125459,,2,2,,12000,2,,1200,2,,,2,2,,10700,1,6,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125459,1200,126659,126659,2.8,0,0,0,0,3600,4200,0,0,0,0,1,1,1,2,1,2,0,125459,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
4,15.2127338541468,2,226466.8,,2,1,420,4200,1,600,500,2,,,2,2,,14870,2,5,5,2,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226466.8,500,227566.8,227566.8,4,0,0,0,0,4800,2400,0,0,0,0,1,1,1,8,1,2,0,226466.8,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
5,32.8922253041617,2,120000,2,1,2,,18000,2,,100,1,900,,2,2,,32480.4,3.8,3,4,2,1,1,3,0,0,1,1,0,0,1,1,1,1,60000,0,0,21000,200,0,1,20000,0,0,0,0,1,11000,0,0,1,31000,160000,22200,202200,171200,3,0,11000,0,500,4800,4800,0,0,1,7000,0,0,2,2,1,2,0,120000,2,0,1,1,,,5,,,,5,0,,,,0,,2,1,15000,300,47.8,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,,,900,20000,1,21000
6,5724.91156673329,2,33000,,1,2,,4000,2,,700,2,,,2,2,,45752.4,4.8,1,1,1,1,2,4,0,0,1,1,0,1,0,0,1,1,36000,0,24103.6,0,0,0,0,0,0,0,0,0,1,4019.2,0,0,1,4019.2,69000,24803.6,93803.6,89784.4,2.2,4019.2,0,0,250,4320,19680,1,600,1,19216,1,0,1,4,3,2,0,33000,,0,1,1,,,1,,,,2,0,,,,0,,2,2,9000,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,1,0
7,252.360887396215,2,4e+05,2,1,1,3606,18000,2,,2500,1,42000,,2,2,,24379.6,3.2,4,6,2,1,0,2,0,0,1,1,0,1,0,0,1,1,160000,0,42000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560000,86500,646500,646500,5,0,0,0,0,11352,-7032,1,9500,1,4500,1,0,1,6,1,2,0,4e+05,2,0,2,1,1,,1,1,,,2,0,6000,,,0,,2,2,40000,0,0,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,,,42000,0,1,0
8,346.46710877767,2,114541,2,1,2,,9000,2,,1000,2,,,2,2,,10731.8,1.6,6,5,2,1,0,1,0,0,1,1,0,0,0,0,1,1,65838.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180379.4,1000,181379.4,181379.4,3.6,0,0,0,0,1800,2640,0,0,1,500,1,0,1,6,1,2,0,114541,2,0,1,2,,,3,,,,6,0,,,,0,,2,2,16459.6,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,1,0
9,2387.45062284704,2,240000,2,2,2,,24000,2,,1500,1,180300,,2,2,,33054.2,4.2,5,5,2,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000,181800,421800,421800,5,0,0,0,0,7200,7200,0,0,1,5000,1,1,1,8,1,2,0,240000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,3000,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,180300,0,0,0
10,5889.45023902777,2,140207.8,1,2,2,,9015,2,,3000,2,,,2,2,,25559,3,1,1,2,1,2,3,0,0,1,1,0,0,1,0,1,1,0,0,0,601,0,45399,0,0,1,45399,0,0,0,0,0,0,1,45399,94808.8,3601,143808.8,98409.8,2.4,0,0,0,450,5592,5208,1,12000,1,6000,0,1,1,8,1,2,450,140207.8,1,0,,,,,,,,,,0,,,,0,,2,1.8,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,45399,0,601
11,3749.86721711068,2,150000,,2,1,1200,18000,2,,3000,1,5400,,2,2,,58200.6,5.4,4,1,2,1,2,3,0,0,1,1,0,1,0,0,1,1,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,20400,170400,170400,3,0,0,0,0,8400,12000,0,0,1,9000,1,1,1,8,1,2,0,150000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,225,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,5400,0,0,0
12,5889.45023902777,2,51000,1,2,2,,12000,2,,,2,,,2,2,,18005,2,1,1,1,1,2,3,0,0,1,0.8,0,0.4,1,0,1,1,0,0,1070,1680,0,39000,0,0,1,27000,0,0,0,0,0,0,1,39000,12000,4439,55439,16439,1,0,0,0,480,2880,2880,0,0,1,12000,0,1,1,3,1,2,480,51000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,0,39000,0,1680
13,4229.4871247337,1,,,2,2,,6000,2,,3500,2,,,2,2,,30041,3.6,2,1,2,0,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,0,1,4000,0,3500,3500,-500,1,0,4000,0,350,7200,1800,0,0,1,8000,1,1,1,8,,1,0,,,0,,,,,,,,,,0,,,,0,,1,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
14,156.067364855379,2,180000,,1,1,300,12000,2,,2141.4,2,,67741,2,2,,22500,3,5,5,1,1,1,3,3000,1,1,1,1,1,1,0.6,1,1,30000,0,58441.8,9211.2,2286.8,0,0,0,0,0,0,0,0,0,0,0,0,0,210000,139822.2,352822.2,352822.2,4.8,0,0,0,0,10080,7452,1,3000,1,12000,0,0,1,2,1,2,0,180000,,0,1,1,,,1,,,,6,0,,,,0,,2,1.8,7500,0,,,,0,0,0,0,1,0,0,0,0,0,0,2,0,,1,,,67741,0,1,9211.2
15,238.761616915859,2,180304,2,1,2,,6631.2,2,,1803,2,,,2,2,,30343.6,3.8,4,2,1,1,1,2,31449.2,1,1,1,0,0,0,0,1,1,187889.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368193.4,1803,401445.6,401445.6,4.8,0,0,0,0,6000,1212,0,0,0,0,1,0,2,3,1,2,0,180304,2,0,2,1,2,,5,5,,,3,902,10596,,,0,,2,2,46972.35,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,2,1,0,0,1,0
16,6884.54391465022,2,18000,1,2,2,,900,2,,10,2,,,2,2,,13100,2,2,4,1,1,2,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,9100,0,0,1,9100,0,0,0,0,0,0,1,9100,8900,10,18010,8910,1,0,0,0,216,7200,6000,0,0,0,0,1,1,2,2,1,2,216,18000,1,0,,,,,,,,,,0,,,,0,,2,1,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,9100,0,0
17,390.438160855412,2,66100,,1,2,,1800,2,,660,1,9000,,2,2,,12882.2,1.8,6,5,1,1,0,1,0,0,1,1,0,1,0,0,1,1,7500,0,12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73600,22160,95760,95760,2.4,0,0,0,0,2160,3840,0,0,0,0,1,0,1,4,1,2,0,66100,,0,1,1,,,1,,,,5,0,,,,0,,2,2,3750,0,170.8,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,9000,0,1,0
18,2305.69333592208,2,120000,,2,2,,12000,2,,400,2,,,2,2,,19355,2.6,5,5,2,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,400,120400,120400,3,0,0,0,0,4800,1200,0,0,1,600,1,1,1,7,1,2,0,120000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
19,5939.60627063605,2,96500,1,2,1,100,6000,2,,1200,2,,,2,2,,27007.4,3.6,2,4,3,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,48685,0,0,1,39066,0,0,1,3000,1,1200,1,52885,47815,1200,97700,44815,2,0,4200,0,605,3000,15000,0,0,1,1000,1,1,2,7,1,2,395,96500,1,1.75,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,48685,0,0
20,5163.52867153101,2,96161,2,1,1,300,24040,2,,3005,2,,,2,2,,42329.6,4.4,3,1,2,1,1,4,0,0,1,1,0,0,0,0,1,1,18030,0,0,0,0,0,1,7813,0,0,0,0,0,0,0,0,1,7813,106378,3005,117196,109383,3,0,0,0,180,5400,3972,0,0,1,1803,1,0,1,8,1,2,0,96161,2,0,1,1,,,4,,,,2,0,,,,0,,2,2,4507.5,180,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,7813,1,0
21,5034.39523458335,2,54100,,2,1,210,6000,1,1800,1800,2,,,2,2,,20760,3,4,1,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54100,1800,57700,57700,2,0,0,0,0,4200,3000,0,0,0,0,1,1,2,4,2,2,0,54100,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
22,28.4982732769829,2,120000,,2,1,600,3000,2,,9000,2,,,2,2,,19920,3,6,4,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,9000,129000,129000,3,0,0,0,0,4800,2400,0,0,0,0,1,1,2,4,97,2,0,120000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
23,128.503379934446,2,360607,,1,2,,9015,1,6010,9015,1,78131,,1,1,45075,36435,4,5,6,1,1,0,2,0,0,1,1,0,1,0,0,1,1,360606,120202,30050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721213,282473,1009696,1009696,5,0,0,0,0,10092,7212,0,0,0,0,1,0,1,2,1,2,0,360607,,0,2,1,1,,1,5,,,2,841,9789,,,0,,2,2,90151.5,0,3005,,0,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,,,243408,0,1,0
24,431.859882078366,2,150000,,1,1,300,6000,2,,3000,1,90151,,2,2,,35060,4,6,5,1,1,1,3,0,0,1,1,0,1,0,0,1,1,9000,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159000,183151,342151,342151,5,0,0,0,0,4644,3276,1,12200,1,18000,1,0,2,2,1,2,0,150000,,0,1,1,,,1,,,,2,0,,,,0,,2,2,2250,0,522.2,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,90151,0,1,0
25,4096.3162419411,2,20000,,2,2,,5000,1,422.6,1930.8,2,,,2,2,,27724.4,3.4,4,5,1,1,2,3,0,0,1,1,0,1,0,0,1,1,0,0,3334.2,0,0,0,0,0,0,0,1,36000,1,13600,1,240,1,49840,20000,5265,25687.6,-24152.4,1,13000,36840,0,980,4800,1200,1,15000,1,13500,1,1,1,1,2,2,0,20000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
26,85.409113451894,2,202818.4,2,2,1,300,18000,2,,2717.4,2,,,2,2,,16800,2,5,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202818.4,2717.4,205535.8,205535.8,3.6,0,0,0,0,4800,6000,0,0,0,0,1,1,1,2,1,2,0,202818.4,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
27,207.013219085439,3,,,2,2,,15000,2,,2000,2,,,2,2,,8400,1,3,1,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,2000,2000,1,0,0,0,0,1440,2040,0,0,1,4000,1,1,2,8,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
28,4393.2043945234,2,209379.2,1,2,2,,12020,2,,60,2,,,2,2,,36816.6,4.2,2,4,1,1,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,48606,0,0,1,45000,0,0,1,2103,0,0,1,50709,160773.2,60,209439.2,158730.2,3.2,2103,0,0,708,2880,720,0,0,1,4808,1,1,2,4,1,2,541,209379.2,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,48606,0,0
29,6342.01934120972,2,228384,1,1,2,,24040,2,,1200,2,,,2,2,,65508,5.8,1,2,2,1,1,5,0,0,1,1,0,1,0,0,1,1,156263,0,60101,0,0,45075,0,0,1,45075,0,0,0,0,0,0,1,45075,339572,61301,445948,400873,5,0,0,0,661,9600,4800,0,0,1,600,1,0,1,6,1,2,661,228384,1,0,1,2,,,1,,,,4,372,,,,0,,2,2,39065.75,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,2,1,0,45075,1,0
30,7046.58777126287,2,120000,,2,2,,24000,1,1200,985,2,,,2,2,,23641.8,3,1,1,2,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15630,0,0,1,15630,120000,985,122185,106555,3,0,15630,0,198,8400,3144,0,0,1,3000,1,1,1,6,2,2,0,120000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
31,6144.95425011522,3,,,2,1,3000,15990.6,1,901,901,2,,,2,2,,19867.8,2.8,2,1,1,0,2,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901,1802,1802,1,0,0,0,0,4644,4008,0,0,1,2357,1,1,1,4,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
32,250.054923647487,2,36000,2,1,1,4000,12000,2,,23390.8,1,1800,,2,2,,51529.2,4.8,4,5,1,1,2,5,0,0,1,1,0,0,0,0,1,1,194239.8,0,0,0,0,0,1,59000,0,0,0,0,0,0,0,0,1,59000,171239.8,25190.8,255430.6,196430.6,3.4,0,0,0,720,14400,2400,0,0,1,12000,1,0,1,4,1,2,0,36000,2,0,3,1,1,1,1,1,2,2,6,0,,,,0,,1,2,48559.95,0,180,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,1800,59000,1,0
33,2561.15411773324,2,210354,,2,2,,20000,2,,6000,2,,,2,2,,7572,1,4,4,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210354,6000,216354,216354,4,0,0,0,0,3600,3600,0,0,0,0,1,1,2,2,1,2,0,210354,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,0,0,0
34,9635.43965124641,2,108182,,2,1,9015,9100,2,,5409,2,,,2,2,,23173.8,3,1,1,1,1,1,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,34257,0,0,0,0,1,34257,108182,5409,113591,79334,2,0,34257,0,330,3096,4104,0,0,1,720,1,1,1,2,1,2,0,108182,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
35,3316.28222701778,2,48000,2,2,2,,10700,2,,2700,2,,,2,2,,6048,1,4,4,1,1,0,2,0,0,1,1,0,1,1,0,1,1,0,0,18000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48000,45700,93700,93700,2,0,0,0,0,9288,-5808,0,0,1,3900,0,1,2,2,1,2,0,48000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,,,0,0,0,25000
36,213.650739098711,2,180000,2,1,1,500,12000,2,,6000,1,2000,,1,2,,23338.4,3,5,5,1,1,0,3,0,0,1,1,0,0,0,0,1,1,72000,36000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252000,44000,296000,296000,4,0,0,0,0,6000,1200,0,0,1,1200,1,0,1,2,1,2,0,180000,2,0,1,1,,,1,,,,4,300,3600,,,0,,2,2,18000,0,30,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,38000,0,1,0
37,3114.71819448847,2,47712.8,,2,2,,6000,2,,2531,2,,,2,2,,8084.6,1.2,6,4,1,1,0,2,0,0,1,1,0,0.2,0,0,1,1,0,0,3827.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47712.8,6358.2,54071,54071,2,0,0,0,0,4200,1800,0,0,0,0,1,1,2,2,2,2,0,47712.8,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
38,3641.92323412056,2,57334.4,,2,2,,2750,2,,3177.8,2,,,2,2,,15342.4,2,6,4,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57334.4,3177.8,60512.2,60512.2,1.8,0,0,0,0,3600,1680,0,0,0,0,1,1,2,2,1,2,0,57334.4,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,,0,,2,,,0,0,0,0
39,5184.45509132513,2,108000,1,2,2,,12000,2,,300,2,,,2,2,,12180,2,2,2,2,1,1,4,19000,1,1,1,0,1,1,0,1,1,0,0,1800,4500,0,12000,0,0,1,12000,0,0,0,0,0,0,1,12000,96000,6600,133600,121600,3,0,0,0,330,6480,4320,0,0,1,9000,0,1,1,6,1,2,330,108000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,1,2,1,0,12000,0,4500
40,3375.68689192394,2,60000,,1,2,,10000,2,,669.8,2,,,2,2,,25504.6,3.4,5,4,1,1,1,3,0,0,1,1,0,0,0,0,1,1,64718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124718,669.8,125387.8,125387.8,3,0,0,0,0,3600,600,0,0,0,0,1,0,2,2,2,2,0,60000,,0,1,1,,,8,,,,3,0,,,,0,,2,2,32359,0,,,,,0,0,0,0,0,0,1,0,0,0,2,0,,2,,,0,0,1,0
41,5637.3654770957,2,54091,2,2,1,3606,24040,2,,1000,2,,,2,2,,39795.4,4.6,2,1,2,1,1,4,0,0,1,1,0,0,1,0,1,1,0,0,0,5000,0,0,0,0,0,0,0,0,1,1400,0,0,1,1400,54091,6000,60091,58691,2,0,1400,0,120,16800,4800,0,0,1,1600,0,1,1,6,1,2,0,54091,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,,,0,0,0,5000
42,5166.44831037157,1,,,2,2,,12000,2,,1659,2,,,2,2,,53107.2,5.2,3,1,2,0,3,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3500,0,0,1,3500,0,1659,1659,-1841,1,0,3500,0,185,10948.8,10687.2,0,0,1,1202,1,1,2,8,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
43,6471.55639517857,2,48080,2,2,1,1502,12020,2,,3005,2,,,2,2,,29114.6,3.6,2,1,1,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48080,3005,51085,51085,2,0,0,0,0,7200,3612,0,0,1,12020,1,1,1,2,1,2,0,48080,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
44,366.152898861543,2,210885.8,2,2,1,2099,26000,2,,753.6,2,,,2,2,,39357,4.2,2,4,3,1,1,4,0,0,1,1,0,0,1,0,1,1,0,0,0,14064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210885.8,14817.6,225703.4,225703.4,3.8,0,0,0,0,5467.2,4344,0,0,1,1798.6,0,1,2,5,1,2,0,210885.8,2,0,,,,,,,,,,0,,,,0,,2,1.8,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,,,0,0,0,14064
45,3493.42983629799,2,240000,1,2,2,,6000,2,,1200,2,,,2,2,,19602,3,3,1,1,1,1,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,42000,0,0,1,42000,0,0,0,0,0,0,1,42000,198000,1200,241200,199200,4,0,0,0,402,7200,2892,0,0,1,500,1,1,1,2,1,2,402,240000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,42000,0,0
46,189.167114719883,2,108182,,2,2,,18030,1,6000,600,2,,,2,2,,29014.4,3.8,5,5,1,1,0,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108182,600,114782,114782,3,0,0,0,0,7200,2172,0,0,1,600,1,1,2,5,1,2,0,108182,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
47,209.597815874961,2,72000,,1,2,,27640.4,2,,2035,1,36000,13130.4,1,1,60000,49244.8,4.8,4,5,2,1,0,1,0,0,1,1,1,1,0,0,1,1,168940.314,42000,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240940.314,158665.4,399605.714,399605.714,5,0,0,0,0,5829.6,6398.4,0,0,1,12000,1,0,1,8,1,2,0,72000,,0,4,2,2,2,1,1,1,1,6,0,,,,0,,2,2,64621.45,0,1020.6,,1396.8,0,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,151130.4,0,1,0
48,185.51431372629,2,204000,,2,2,,12000,1,6000,7000,1,8414,,1,2,,42974,5,3,4,2,1,2,4,0,0,1,1,0,1,1,1,1,1,0,56599,57000,56948,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,204000,192361,402361,402361,5,0,0,0,0,10800,10800,1,9015,1,18030,0,1,1,6,1,2,0,204000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,432,,,,0,0,0,0,1,0,0,0,0,0,1,0,,1,,,65013,0,0,37088
49,6629.08030652114,2,58517.6,1,2,2,,15000,2,,100,2,,,2,2,,21420,3,2,4,1,1,1,5,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,42000,0,0,1,42000,0,0,0,0,0,0,1,42000,16517.6,100,58617.6,16617.6,1.2,0,0,0,300,4800,7800,0,0,0,0,1,1,2,4,1,2,300,58517.6,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,42000,0,0
50,4617.51884131899,2,79345.6,,2,2,,14305,2,,953,2,,,2,2,,8400,1,3,4,1,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79345.6,953,80298.6,80298.6,2.2,0,0,0,0,4200,4200,0,0,1,3000,1,1,2,5,1,2,0,79345.6,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,0,0,0,0
51,7577.20163682265,1,,,2,2,,3000,2,,120,2,,,2,2,,17650,2,1,1,2,0,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,600,0,0,1,600,0,120,120,-480,1,0,600,0,120,5400,1800,0,0,1,500,1,1,1,7,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
52,4245.66277179462,2,54000,1,2,1,9000,4200,1,3000,600,2,,,2,2,,19000,3,1,1,1,1,2,4,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,30000,0,0,1,30000,0,0,1,1000,0,0,1,31000,24000,600,57600,26600,1,1000,0,0,616,10800,7200,0,0,1,3000,1,1,1,4,1,2,500,54000,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,30000,0,0
53,3009.04682984452,2,180000,1,1,2,,1800,2,,600,2,,,2,2,,27200,4,2,1,2,1,1,4,0,0,1,1,0,0,0,0,1,1,42000,0,0,0,0,104000,0,0,1,104000,0,0,0,0,0,0,1,104000,118000,600,222600,118600,3,0,0,0,660,8760,9960,0,0,1,4500,1,0,2,8,1,2,660,180000,1,0,2,1,1,,4,3,,,2,0,,,,0,,2,2,10500,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,104000,1,0
