h_number,facine3,p2_1,p2_5,p2_8,p2_32,p2_69,p2_70,p2_71,p2_82,p2_84,p4_7_3,p4_10,p4_15,p4_24,p4_27,p4_33,p4_35,renthog,percrent,bage,nsitlabdom,neducdom,np2_1,nnumadtrab,np1,valhog,havenegval,tienereal,np4_5,np4_18,cuentas,penseg,sideuda,tienefin,tiene,otraspr,allf,salcuentas,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,otrasd,potrasd,adeuda,vdeuda,actreales,actfinanc,riquezabr,riquezanet,percriq,deuveh,deubie,deuinvref,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,p5_1,multipr,sex,educ,p2_2,p2_1.1,pagopr_vivpr,np2_5,p2_8.1,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1.1,empre,auton,riquezafin,deuda_vivienda,s6_owner,valor
1534,4759.82812603266,2,120200,2,2,2,,15000,1,600,6000,2,,,2,1,15200,22194.8,2.8,3,1,1,1,2,4,0,0,1,1,0,1,1,0,1,1,0,0,20000,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120200,49850,170650,170650,3,0,0,0,0,6000,4800,0,0,1,2000,0,1,2,3,1,2,0,120200,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,0,,1,0,0,0,0,0,0,0,0,0,1,0,,1,,,15200,0,0,8650
1535,3514.90900786445,2,72121,,1,2,,10000,2,,3640.2,2,,,2,2,,17641,2.4,6,5,1,1,0,2,0,0,1,1,0,0,0,0,1,1,54091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126212,3640.2,129852.2,129852.2,3,0,0,0,0,2400,3120,0,0,1,300,1,0,1,2,1,2,0,72121,,0,1,1,,,1,,,,4,183,2200,,,0,,2,2,13522.75,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,1,0
1536,479.756641047463,1,,,2,1,300,24000,1,3000,4200,2,,,2,2,,14123,2,5,5,2,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,72100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76300,79300,79300,2,0,0,0,0,2100,3900,0,0,0,0,1,1,2,6,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,210,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,,,0,0,0,0
1537,3695.76290513465,2,120000,2,1,1,600,32468.2,2,,1200,1,3017.6,,2,2,,32996.6,4,3,2,2,1,1,5,86766.5,1,1,1,0,0,0,0,1,1,288764.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408764.8,4217.6,499748.9,499748.9,5,0,0,0,0,7740,-1980,0,0,1,1000,1,0,1,6,1,2,0,120000,2,0,2,1,1,,2,2,,,3,2000,,,,0,,2,2,144382.4,0,34.8,,,,0,1,0,0,0,0,0,0,2,2,2,2,,2,2,1,3017.6,0,1,0
1538,4665.22979486335,1,,,2,2,,10000,2,,382.8,2,,,2,2,,6720,1,5,5,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.8,382.8,382.8,1,0,0,0,0,3840,1980,0,0,0,0,1,1,2,2,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1539,256.226016869294,2,96161,1,2,2,,18030,2,,5108,2,,,2,2,,15574,2,1,1,2,1,1,3,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,36060,0,0,1,36060,0,0,0,0,0,0,1,36060,60101,5108,101269,65209,2,0,0,0,255,6120,2280,0,0,1,12921,1,1,1,8,1,2,255,96161,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,36060,0,0
1540,5723.06077953954,2,355423,1,2,1,600,6001,2,,9000,1,6000,,1,1,3000,115552.8,6,2,4,3,1,1,5,0,0,1,1,0,0,0,0,1,1,0,3000,0,0,0,45180,0,0,1,45180,0,0,0,0,0,0,1,45180,310243,21000,376423,331243,5,0,0,0,400,3199.2,22120.8,0,0,1,6002,1,1,2,10,1,2,400,355423,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,114,,300,,0,0,0,0,0,0,1,0,0,0,1,0,,2,,,12000,45180,0,0
1541,2809.88012519659,2,138000,,2,1,900,12000,2,,6000,2,,,2,2,,36606,4,3,1,2,1,2,3,0,0,1,1,0,1,0,0,1,1,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138000,24000,162000,162000,3,0,0,0,0,9600,2400,0,0,1,9000,1,1,1,8,1,2,0,138000,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,,,0,0,0,0
1542,289.494451830565,3,,,1,1,420,6000,2,,2500,1,1099,,2,2,,39126,4.6,4,4,1,0,1,3,0,0,1,1,0,1,0,0,1,1,90151,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90151,28599,118750,118750,3,0,0,0,0,7200,3600,0,0,1,9000,1,0,1,5,,3,0,,,0,1,2,,,1,,,,2,0,,,,0,,2,,22537.75,0,0,,,,0,0,0,0,1,0,0,0,0,0,1,0,,2,,,1099,0,1,0
1543,2913.3585594241,2,120200,,2,1,340,25000,2,,1200,2,,,2,1,12000,18794.6,2.4,5,5,1,1,0,2,0,0,1,1,0,1,0,0,1,1,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120200,33200,153400,153400,3,0,0,0,0,3000,960,0,0,0,0,1,1,1,5,1,2,0,120200,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,171.4,,0,0,0,1,0,0,0,0,0,0,1,0,,2,,,12000,0,0,0
