h_2008,facine3,p2_69,p2_84,p2_70,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1,459.88779221219,1,6000,1300,14840,,,,,3,1,1,170000,2,1,0,0,0,0,78633.28,6,3,4,3,1,1,1,1,1,0,0,0,0,0,0,1,1,1,150000,1505683.6,,215000,0,0,0,16000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000,245840,2077523.6,2077523.6,5,0,10320,31680,0,0,1,40000,1,2,10,1,2,0,170000,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,37500,0,,,,,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,3,0,0,1
2,4555.21877930772,2,,,100,,,,,4,1,0,150253,1,1,0,0,0,0,18072,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,150253,0,0,1,150253,0,0,0,0,0,0,0,0,1,150253,0,0,100,150353,100,1,1400,5160,1440,0,0,0,0,0,2,6,1,2,1400,150253,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,150253,0
3,1663.8495279204,2,,,336.8,,,,,4,1,0,130000,2,1,0,0,0,0,26927.4808,3,3,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,3000,0,3000,0,0,0,0,0,0,1,1e+05,0,0,1,1000,0,0,1,101000,101000,130000,3336.8,133336.8,32336.8,1,866,6000,10800,0,0,1,2000,0,1,2,1,2,0,130000,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,0,0,0
4,4513.23582792185,1,600,800,5000,1843,,,,4,1,1,300506,0,1,1,0,0,0,17083.06,2,3,4,2,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,,0,382.2,0,382.2,0,0,0,0,0,0,0,0,1,10000,0,0,0,0,1,10000,10000,300506,7225.2,308331.2,298331.2,3,150,5160,2040,0,0,1,2000,0,2,6,1,2,0,300506,,0,,,,,,,,,,0,,,,0,,2,2,0,0,178,,,,0,0,0,0,0,0,1,0,0,0,1,0,,1,0,,1843,0,0
5,138.228577587207,2,,,7483.4,,,,,2,0,0,,0,1,0,0,0,0,18072,2,3,1,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,,0,16883.6,0,16883.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24367,24367,24367,1,0,6000,6000,0,0,1,1000,0,2,4,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,1,0,,0,0,0
6,2993.42110534319,2,,,10000,,,,,2,1,0,180304,2,1,0,0,0,0,23876.124,2.6,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,120202,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506,10000,310506,310506,3,0,9600,7200,0,0,1,15000,1,1,2,1,2,0,180304,2,0,1,2,,,1,,,,2,0,,,,0,,2,2,30050.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,,0,0,1
7,3731.09765645418,2,,,500,,,,,1,1,0,168283,1,1,0,0,0,0,26003.6,3,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,162273,0,0,1,162273,0,0,0,0,0,0,0,0,1,162273,0,6010,500,168783,6510,1,640,4128,5472,0,0,1,2200,0,1,8,1,2,640,168283,1,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,162273,0
8,60.4991149058755,2,,,10000,,,,,2,1,0,240405,2,1,0,0,0,0,95864.1288,6,5,5,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,961619,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1202024,10000,1212024,1212024,5,0,15480,32520,1,10818,1,12318,1,1,10,1,2,0,240405,2,0,8,1,1,1,1,8,8,8,4,4380,53756,,,0,,2,2,240404.75,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
9,180.064366955296,1,,1500,4000,,,,,2,1,0,180304,0,1,0,0,0,0,15562,2,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,180304,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360608,4000,364608,364608,4,0,7200,4800,0,0,1,6000,1,1,2,1,2,0,180304,,0,1,1,,,1,,,,5,0,,,,0,,2,2,45076,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
10,1344.60506035924,2,,,300,,,,,1,0,0,,0,1,0,0,0,0,9036,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,300,300,1,0,3612,2388,0,0,0,0,0,2,2,,3,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,0,0,0
11,2009.04606520924,2,,,0,,,,,1,1,0,240405,2,0,0,0,0,0,11546,1,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240405,1746,242151,242151,3,0,1548,1812,0,0,0,0,0,2,2,1,2,0,240405,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
12,3016.74743456503,2,,,7000,,,,,4,1,0,7e+05,1,1,0,0,0,0,81324,6,2,6,3,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,335000,,2500,0,0,0,0,339000,0,0,1,339000,0,0,0,0,0,0,0,0,1,339000,0,361000,9500,1044500,705500,5,2020,4200,18600,1,27000,1,54000,0,1,12,1,2,2020,7e+05,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,2,3,1,2,1,4,0,339000,0
13,2519.20420222447,2,,,40000,,,,,2,1,0,162273,0,1,0,0,0,0,16666.4,2,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,300506,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462779,40000,502779,502779,4,0,7200,4800,0,0,0,0,1,1,4,1,2,0,162273,,0,1,2,,,3,,,,1,0,,,,0,,2,2,75126.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
14,205.957171877924,2,8860.4,,2800,,,,,1,1,1,270455,2,1,0,0,0,0,25827.9,3,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,360607,0,,165386.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631062,168186.4,808108.8,808108.8,5,0,7212,1440,0,0,0,0,1,2,2,1,2,0,270455,2,0,1,1,,,5,,,,4,1202,15025,,,0,,2,2,90151.75,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,0,0,1
15,148.400730912201,2,,,3000,4736,,,,1,1,0,420708,0,1,1,0,0,0,22797.0248,3,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,180304,0,,88866.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601012,96602.8,697614.8,697614.8,5,0,1200,3384,0,0,0,0,1,2,2,1,2,0,420708,,0,1,1,,,1,,,,4,320,3600,,,0,,2,2,45076,0,498.6,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,4736,0,1
16,245.685017821063,2,,,12000,50000,,,,2,1,0,300506,2,1,1,0,0,0,39073.8728,4.4,6,5,2,0,0,0,1,0,1,0,1,0,0,0,0,1,1,299507.2,0,,0,29040.6,0,29040.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600013.2,91040.6,691053.8,691053.8,4.8,0,4128,7872,0,0,0,0,1,1,8,1,2,0,300506,2,0,1,1,,,1,,,,4,580,5880,,,0,,2,2,74876.8,0,4065.4,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,0,,50000,0,1
17,5604.23777356683,1.8,,,500,,,,,1,1,0,274750.6,0,1,0,0,0,0,7260.928,1,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274750.6,500,275250.6,275250.6,3.2,0,2400,3600,0,0,0,0,0,2,4,1,2,0,274750.6,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
18,88.5248729628726,1,,2000,36000,300,,,,5,1,0,5e+05,1,1,1,0,0,1,99802.4192,6,3,6,2,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1025000,0,65000,0,0,0,0,0,6000,0,0,1,6000,0,0,0,0,0,0,0,0,1,6000,0,1519000,101300,1626300,1620300,5,250,9600,8400,1,2000,1,18800,1,1,6,1,2,250,5e+05,1,0,3,1,2,1,1,3,4,4,4,1200,13000,,,0,,2,2,256250,0,0,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,2,0,,65300,6000,1
19,1272.37303694127,1,,1300,10000,,,,,3,1,0,180304,0,1,0,0,0,0,27108,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,40000,,0,0,0,0,0,0,0,0,0,0,1,24000,0,0,0,0,0,0,1,24000,24000,180304,10000,230304,206304,3,300,3600,2400,0,0,1,1200,0,2,2,1,2,0,180304,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,1,1,0,0,0
20,80.5881436083276,1,,650,800,,,,,4,1,0,300506,1,1,0,0,0,0,38152,4,3,2,2,2,1,1,1,0,1,0,1,0,0,0,0,1,1,0,14871,,0,2905,0,2905,0,186314,0,0,1,186314,0,0,1,3500,0,0,0,0,1,189814,3500,114192,3705,319082,129268,2,1680,4800,1800,0,0,1,3000,0,2,6,1,2,1400,300506,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,2,0,186314,0
21,2114.81142261399,1,,600,6000,,,,,2,1,0,228385,0,1,0,0,0,0,29149.7344,3,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,17600,1,150,0,0,1,17750,17750,228385,6000,234385,216635,3,330,4800,6000,0,0,1,15000,0,2,6,1,2,0,228385,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,0,0
22,6760.79730280972,1,,900,1500,,,,,1,0,0,,0,1,0,0,0,0,29015.6,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,0,0,0,1,4000,4000,0,1500,1500,-2500,1,150,9600,4800,0,0,1,12000,0,1,8,,1,0,,,0,,,,,,,,,,0,,,,0,,1,,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,0
23,2249.29901721511,2,,,1500,,,,,2,1,0,60101,0,1,0,0,0,0,7983.808,1,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60101,1500,61601,61601,1,0,3120,480,0,0,0,0,0,2,2,1,2,0,60101,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,0,1,0,0,,0,,2,0,,0,0,0
24,12243.038636178,2,,,9000,,,,,4,1,0,150253,2,1,0,0,0,0,40137.912,4,3,1,1,3,1,0.8,1,1,0,0,0,0,0,0,0,1,1,0,122107.4,,15025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150253,24025,296385.4,296385.4,3.2,0,7800,12600,0,0,1,36061,0,2,4,1,2,0,150253,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,0,2.2,0,0,0
25,21.7968595167664,1,30000,600,60000,2e+05,,,,2,1,1,4e+05,0,1,1,0,0,1,238952,6,4,6,2,2,1,1,1,0,1,0,1,0,0,0,0,1,1,1100000,31384634.2,6e+05,0,2e+05,0,2e+05,0,0,1,2e+05,0,0,0,0,0,0,0,0,0,0,1,2e+05,0,1300000,1060000,33974634.2,33774634.2,5,2000,24000,24000,1,60000,1,90000,1,1,8,1,2,0,4e+05,,0,2,2,1,,1,1,,,2,0,,,,0,,2,2,275000,0,16000,,,,0,1,0,0,0,0,0,0,2,2,2,2,1,1,1,2,8e+05,2e+05,1
26,832.450775982315,2,,,20000,,,,,3,1,0,18030,0,1,0,0,0,0,28629.06,3,6,5,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18030,20000,38030,38030,1,0,4800,1200,0,0,1,2500,0,1,2,2,2,0,18030,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,0,0,0
27,2538.09735592024,2,,,100,,,,,3,1,0,96162,1,1,0,0,0,0,11244.8,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,54091,0,0,1,54091,0,0,0,0,0,0,0,0,1,54091,0,42071,100,96262,42171,1,458.2,4200,600,0,0,0,0,0,2,2,1,2,458.2,96162,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,54091,0
28,76.7189170975107,2,,,,,,,,2,1,0,601012,1,0,0,0,0,0,90727.0624,5.6,4,2,2,2,1,1,1,1,1,0,1,0,0,0,0,1,1,1442428,1034193.4,,6010,18030,0,18030,0,120202,1,60101,1,120202,0,0,0,0,0,0,0,0,1,180303,0,1863137,24040,3101673.4,2921370.4,5,2586.8,12900,11100,0,0,1,18030,1,1,7,1,2,1386.8,601012,1,0,3,2,1,1,5,1,5,5,3,0,,,,0,,2,2,360607,0,,,,,0,1,0,0,0,0,0,0,2,2,2,2,,1,1,1,0,180303,1
29,50.3917056344316,2,,,3000,120202,,,,3,1,0,480810,2,1,1,0,0,0,15461.6,2,4,5,3,0,0,0,1,1,1,0,1,0,0,0,0,1,1,480809,0,,1e+05,2e+05,0,2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961619,423202,1384821,1384821,5,0,12000,18000,0,0,1,30051,1,1,10,1,2,0,480810,2,0,2,2,1,,1,1,,,4,825,9900,,,0,,2,2,120202.25,0,6010,,,,0,0,0,1,0,0,0,0,0,0,1,0,,1,0,,120202,0,1
30,247.749544937367,1,25000,4000,50000,,,,,2,0,1,,0,1,0,0,0,0,71284,6,3,1,3,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1421214,0,,2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421214,250000,1696214,1696214,5,0,10800,4800,0,0,1,10000,1,1,10,,1,0,,,0,5,1,1,1,1,1,1,1,4,2500,20000,,,0,,2,,355303.5,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,0,,0,0,1
31,117.893030108755,2,,,2500,16000,,,,3,1,0,300506,0,1,1,0,0,1,30120,3.4,4,1,3,1,0,0,1,0,1,0,1,0,0,0,0,1,1,62020,0,1e+05,0,15000,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362526,133500,496026,496026,4,0,15480,120.000000000002,0,0,1,4000,1,1,12,1,2,0,300506,,0,2,2,2,,3,4,,,1,0,,,,0,,2,2,28005,0,1500,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,116000,0,1
32,334.037563142213,2,,,1000,,,,,2,1,0,48081,0,1,0,0,0,0,12650.4,1.8,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48081,1000,49081,49081,1,0,4800,4800,0,0,0,0,0,1,3,2,2,0,48081,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
33,2299.27391555556,1,,2000,15000,,,,,4,1,0,210354,0,1,0,0,0,0,66264,6,2,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,540911,180304,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751265,15000,946569,946569,5,0,4800,3600,0,0,1,7500,1,2,6,2,2,0,210354,,0,2,3,1,,1,8,,,3,0,,,,0,,2,2,135227.75,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,1,0,0,1
34,101.803339843341,1,,1200,1e+05,,,,,4,1,0,708901,0,1,0,0,0,1,162648,6,3,2,3,2,1,1,1,0,1,1,1,0,90000,1,1,1,1,2713598,3090000,3e+05,0,30000,2e+05,230000,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3422499,720000,7232499,7232499,5,0,6300,65700,1,1500,1,19030,1,1,10,1,2,0,708901,,0,3,2,2,2,3,2,1,1,1,0,,,,0,,2,2,678399.5,0,,,,,1,1,0,0,0,0,0,0,2,2,2,1,,1,1,1,3e+05,0,1
35,194.227439010133,2,,,5000,,,,,2,1,0,137212.2,0,1,0,0,0,0,60949.6272,5.4,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,132480.2,64749,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269692.4,5000,339441.4,339441.4,3.8,0,4723.2,11817.6,0,0,1,3005,1,1,2,2,2,0,137212.2,,0,2,2,2,,8,8,,,3,0,,,,0,,2,2,33120.05,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,,2,1,1,0,0,1
36,1907.71449435203,2,,,6010,,,,,2,1,0,180304,0,1,0,0,0,0,10522.924,1,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,24040,0,,12020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204344,18030,222374,222374,3,0,6000,1800,0,0,1,6000,1,1,2,1,2,0,180304,,0,2,1,2,,3,3,,,1,0,,,,0,,2,2,6010,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
37,18557.0051102335,2,,,150253,,,,,4,1,0,120202,1,1,0,0,0,0,36144,4,2,4,2,1,1,0.8,1,0,0,0,0,0,0,0,0,1,1,0,80007.4,,0,0,0,0,0,23811.2,0,0,1,23811.2,0,0,0,0,0,0,0,0,1,23811.2,0,96390.8,150253,350462.4,326651.2,3.4,400,2580,4620,0,0,1,18000,0,2,7,1,2,400,120202,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,1,0,23811.2,0
38,157.414516602192,2,4808,,901518,,,,,2,1,1,360607,0,1,0,0,0,0,40981.272,4,6,6,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,324546,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685153,901518,1591479,1591479,5,0,7212,7212,0,0,1,6010,1,1,11,1,2,0,360607,,0,3,1,1,1,1,1,1,1,4,963,10818,,,0,,2,2,81136.5,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,,0,0,1
39,1981.90095823113,2,,,4000,80000,,,,4,1,0,540911,1,1,1,0,0,0,78111.2,6,3,1,3,2,0,0,1,1,1,0,1,0,0,0,0,1,1,132223,0,,15000,140000,0,140000,0,162273,1,162273,1,162273,0,0,0,0,0,0,0,0,1,324546,0,348588,239000,912134,587588,4,2400,7740,28260,0,0,1,60000,1,1,12,1,2,1200,540911,1,0,2,2,1,,1,4,,,5,0,,,,0,,2,2,33055.75,0,4000,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,80000,324546,1
40,4569.91306603311,2,,,0,,,,,3,1,0,210354,1,0,0,0,0,0,15662.4,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,81137,0,0,1,81137,0,0,1,4000,0,0,0,0,1,85137,4000,129217,0,210354,125217,2,620,7200,1200,0,0,1,48081,0,1,4,1,2,520,210354,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,81137,0
41,4730.10849469165,1,,330,19000,,,,,4,1,0,330557,1,1,0,0,0,0,53500.5496,5,5,4,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,40000,0,0,1,40000,0,0,0,0,0,0,0,0,1,40000,0,290557,19000,349557,309557,3,442,6000,12000,0,0,1,500,0,2,2,1,2,442,330557,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,40000,0
42,2761.95696304536,2,,,3000,,,,,1,1,0,300506,0,1,0,0,0,0,10496.82,1.2,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300506,3000,303506,303506,3,0,3600,3600,0,0,0,0,0,2,1,2,2,0,300506,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,1,0,0,0,1,0,,2,0,,0,0,0
43,505.260916116534,1,,320,16000,,,,130000,1,1,0,72121,0,1,0,0,0,0,10017.912,1,6,6,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,32455,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104576,146000,250576,250576,3,0,4128,3072,0,0,1,300,1,2,2,2,2,0,72121,,0,2,2,1,,3,4,,,4,100,1884,,,0,,2,2,8113.75,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,,0,0,1
44,41.5860377533678,2,,,50000,,,,,4,1,0,420708,2,1,0,0,0,0,114969.044,6,4,2,3,3,1,0.6,1,1,0,1,1,0,20000,1,1,1,1,294000,54585.2,,12000,0,60000,60000,20000,0,1,2e+05,0,0,0,0,0,0,0,0,0,0,1,2e+05,0,514708,142000,911293.2,711293.2,5,930,6192,17808,0,0,1,9000,1,2,10,1,2,0,420708,2,0,2,1,1,,4,1,,,2,0,,,,0,,2,2,73500,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,3,0,2e+05,1
45,2298.9350822266,1,,9015,3000,,,,,2,1,0,180304,0,1,0,0,0,0,13831.104,2,5,6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,102172,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282476,3000,285476,285476,3,0,5160,4440,0,0,1,3000,1,1,4,1,2,0,180304,,0,2,2,2,,1,1,,,2,0,,,,0,,2,2,25543,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,,0,0,1
46,11447.0644474084,2,,,35000,,,,,3,1,0,120202,0,1,0,0,0,0,31425.2,4,4,1,1,2,0,0,1,1,0,0,0,0,0,0,0,1,1,90152,0,,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210354,75000,285354,285354,3,0,3600,7200,1,15000,1,36000,1,1,2,1,2,0,120202,,0,1,1,,,1,,,,6,0,,,,0,,2,2,22538,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,1
47,31.8429909356717,2,10000,,1000,,,,,4,0,1,,0,1,0,0,0,1,243771.2,6,3,6,2,2,0,0,1,1,1,0,1,0,0,0,1,1,1,3e+05,0,72000,90000,110500,0,110500,6000,0,1,25670,0,0,0,0,0,0,0,0,0,0,1,25670,0,274330,279500,589500,563830,4,534,9600,38400,0,0,1,5000,1,1,6,,1,0,,,0,1,1,,,1,,,,2,0,,,,0,,2,,75000,534,,,,,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,72000,25670,1
48,4755.34504639356,2,,,3000,,,,,1,1,0,360607,0,1,0,0,0,0,5622.4,1,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,7000,0,,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367607,9000,376607,376607,4,0,2160,1452,0,0,0,0,1,1,2,1,2,0,360607,,0,1,1,,,3,,,,6,0,,,,0,,2,2,1750,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
49,3133.21705777882,2,,,110,,,,,2,0,0,,0,1,0,0,0,0,14056,2,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,110,110,1,0,7200,4800,0,0,0,0,0,1,2,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
50,5440.86938420395,1,,2000,5000,,,,,4,1,0,150253,1,1,0,0,0,0,30126.024,3.4,2,1,2,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,,6000,6000,0,6000,0,24000,0,0,1,24000,0,0,1,3000,0,0,0,0,1,27000,3000,126253,17000,167253,140253,2,419,6000,6000,0,0,1,3000,0,1,9,1,2,319,150253,1,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,0,24000,0
51,2800.87660603246,1.6,,,300,,,,,1,1,0,300506,2,1,0,0,0,0,32529.6,4,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,12020,0,,27000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312526,27300,339826,339826,4,0,8400,3600,0,0,0,0,1,2,2,1,2,0,300506,2,0,1,1,,,4,,,,2,0,,,,0,,2,2,3005,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,0,1
