h_2008,facine3,p2_69,p2_84,p2_70,p4_7_3,p4_15,p4_24,p4_35,p4_43,np1,np2_1,np2_82,np2_5,np2_8,np4_5,np4_10,np4_18,np4_33,np4_27,renthog,percrent,bage,nsitlabdom,neducdom,nnumadtrab,haveneg,havenegval,tienereal,cuentas,np5_1,seguro,penseg,cart_gest,valdeuhog,havedeuhog,sideuda,tienefin,tiene,otraspr,valhog,allf,salcuentas,valor,valseg,valpenseg,odeuhog,dvivpral,dpdte,deuoprop,dpdtehipo,deuhipv,hipo,phipo,perso,pperso,deuda_tarj,ptmos_tarj,otrasd,potrasd,adeuda,vdeuda,deuotros,actreales,actfinanc,riquezabr,riquezanet,percriq,pagodeuda,alim,nodur,gvehic,gimpvehic,tvehic,timpvehic,multipr,sex,educ,p2_2,p2_1,pagopr_vivpr,np2_5.1,p2_8,p2_9,p2_33,p2_35_1,p2_35_2,p2_35_3,p2_35a_1,p2_35a_2,p2_35a_3,p2_35a_4,p2_42_1,p2_43,rents,p7_4a,p7_4b,p2_23,p2_24,p2_25,p2_26,p2_39,pagopr_otr,p4_16,p4_40,p4_36,p4_25,s6_sum,s6_sum2,s6_sum3,s6_sum4,s6_sum5,s6_sum6,s6_sum7,s6_sum8,s6b_sum,s6b_sum_rent,p6_81,tipo_auton,direc,p5_1,empre,auton,riquezafin,deuda_vivienda,s6_owner
1962,2611.66765022305,2,,,6100,,,,,2,1,0,54091,0,1,0,0,0,0,13482.5152,1.6,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54091,6100,60191,60191,1,0,9600,1200,0,0,1,300,0,1,2,1,2,0,54091,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1963,127.306250004024,2,,,1500,,,,,2,0,0,,0,1,0,0,0,0,18084.2488,2,6,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,64820.2,0,,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64820.2,31500,96320.2,96320.2,1.8,0,4200,5400,0,0,1,2000,1,1,2,,1,0,,,0,3,2,2,2,3,3,3,3,4,900,12000,,,0,,2,,16205.05,0,,,,,0,0,0,1,0,0,0,0,0,0,2,0,,2,0,,0,0,1
1964,2462.3932311916,2,,,500,,,,,3,1,0,180304,2,1,0,0,0,0,7228.8,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180304,500,180804,180804,3,0,4128,3072,0,0,0,0,0,2,4,1,2,0,180304,2,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1965,266.672560207998,1,6000,13000,6193.2,36000,,,,3,1,1,360607,0,1,1,0,0,1,110440,6,4,1,3,2,0,0,1,0,1,0,1,0,0,0,0,1,1,570961,0,30000,0,26000,0,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,931568,98193.2,1035761.2,1035761.2,5,0,14400,9600,0,0,1,19106.6,1,2,12,1,2,0,360607,,0,2,2,1,,1,1,,,4,1500,18000,,,0,,2,2,142740.25,0,776,,,,1,0,0,0,0,0,0,0,0,0,1,0,,1,0,,66000,0,1
1966,5011.17396923393,2,,,300,,,,,1,1,0,42071,0,1,0,0,0,0,3714.8,1,6,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42071,300,42371,42371,1,0,1440,1560,0,0,0,0,0,2,2,1,2,0,42071,,0,,,,,,,,,,0,,,,0,,2,2,0,0,,,,,0,0,0,1,0,0,1,0,0,0,1,0,,2,0,,0,0,0
1967,2593.55548448197,1,,350,934,,,,,1,0,0,,0,1,0,0,0,0,8427.576,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,934,934,1,0,1200,2880,0,0,1,100,0,1,10,,1,0,,,0,,,,,,,,,,0,,,,0,,2,,0,0,,,,,0,0,1,0,0,0,0,0,0,0,1,0,,2,0,,0,0,0
1968,9809.29753912048,1,6010,2000,800,,,,,3,1,1,192324,2,1,0,0,0,0,28759.3792,3.6,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,216365,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,170,1,1518,1,1688,1688,408689,800,415499,413811,4,177,3600,6000,0,0,0,0,1,2,2,1,2,0,192324,2,0,2,2,2,,1,3,,,2,0,,,,0,,2,2,54091.25,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,0,1
1969,1778.45718027625,1,,160,159,,,,,2,1,0,240405,2,1,0,0,0,0,18453.52,2,5,5,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,27045.5,0,,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267450.5,10159,277609.5,277609.5,3,0,7800,1560,0,0,0,0,1,2,2,1,2,0,240405,2,0,1,1,,,1,,,,2,0,,,,0,,2,2,13522.75,0,,,,,0,0,0,1,0,0,0,0,0,0,1,0,,2,0,,0,0,1
1970,2124.35844710427,2,,,0,,,,,3,1,0,60101,0,0,0,0,0,0,16256.768,2,5,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,150254,0,,0,0,0,0,0,0,1,18030,0,0,0,0,1,24040,0,0,0,0,1,42070,24040,192325,0,210355,168285,2,600,13200,4800,0,0,1,45000,1,2,4,1,2,0,60101,,0,4,2,2,2,3,3,1,1,1,0,,,,0,,2,2,37563.5,0,,,,,0,0,0,0,0,0,1,0,0,0,1,0,,2,0,,0,18030,1
1971,157.303457357205,1,3e+06,1100,50000,,,,,1,1,1,2800000,2,1,0,0,0,0,183230,6,4,6,3,1,1,1,1,0,1,0,1,0,6e+05,1,1,1,1,8370307,2673581.6,,0,130000,0,130000,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11170307,1780000,18623888.6,18623888.6,5,0,7740,60.0000000000009,0,0,1,130000,1,1,12,1,2,0,2800000,2,0,20,1,1,1,1,1,4,4,4,3500,2000,,,0,,1,2,2092576.75,0,,,,,0,1,0,0,0,0,0,0,2,2,2,1,1,1,1,3,0,0,1
