year,gini,se
2002,0.51270827585573,0.00680461768079532
2005,0.500382418913012,0.007466937278727
2008,0.504840141786758,0.0080299956812093
2011,0.500999735956619,0.00884921481591013
2014,0.543969011530741,0.0100054632619777
2017,0.589009503371191,0.00829953518421694
2020,0.584691563426341,0.00744348387822818
2022,0.591358692810349,0.00676961102952741
