year,total_wealth_absolute,total_bottom_50,total_top_1,pct_wealth_bottom_50,pct_wealth_top_1,ratio50_1
2002,2180740630205.49,273472708231.867,300510774177.974,0.125403591992551,0.137802162263404,1.09886933917802
2005,3968134029003.43,512258118092.165,536097422973.367,0.129092947553693,0.135100633964222,1.04653768098393
2008,4812787362738.44,576826885946.85,734048624706.229,0.119852975515345,0.152520477091795,1.27256312524563
2011,4697691491041.9,530024222961.316,792630093848.132,0.112826528513426,0.168727575099304,1.49546013089667
2014,4489572172321.47,345119267022.585,908532005942.434,0.0768713039407785,0.202364940593582,2.63251603939857
2017,4669263913481.68,332187560588.809,978204051307.822,0.0711434536029706,0.209498556824648,2.94473414228376
2020,5137663771693.89,361311669657.834,1174870611639.24,0.070326063696206,0.228677987475986,3.25168188658798
2022,6033323932902.91,438266164792.885,1275294212167.81,0.0726409139749296,0.211375060638292,2.90986234990439
