year,regten,bage,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth,ratio_median_wealth,ratio_mean_renthog,ratio_median_renthog
2002,Alquiler,Entre 35 y 44 anos,22377.3084171576,19535.8,14953.5255803796,980,1.26310136802092,1.03049421661409,1.18453090004806,1.1017381202134
2002,Alquiler,Entre 45 y 54 anos,25693.7338457079,21786.6,22741.4906578356,1001,1.92093883187231,1.05257623554154,1.36008411335637,1.22867390789429
2002,Alquiler,Entre 55 y 64 anos,21918.8711328352,18683.2,26781.3803990617,1044.4,2.26218212138069,1.09821240799159,1.16026376662474,1.05365501528328
2002,Alquiler,Entre 65 y 74 anos,18025.0011639539,12385.4,25580.3116312599,3821.8,2.16072968492729,4.01871713985279,0.954143834194769,0.698485207367554
2002,Alquiler,Mayores de 74 anos,9438.55482142247,7757,31314.5355439991,2070,2.64509078290291,2.17665615141956,0.499624871291498,0.437462637746873
2002,Alquiler,Menor de 35 anos,18891.2829680084,17731.8,11838.7375383889,951,1,1,1,1
2002,Casero,Entre 35 y 44 anos,36193.6256960014,30584,311213.433899092,262854,26.2877213799137,276.397476340694,1.91589029486742,1.72481079191058
2002,Casero,Entre 45 y 54 anos,64783.2074025858,42422.2,735251.599427926,334290.4,62.1055747746551,351.514616193481,3.42926457204063,2.39243618809145
2002,Casero,Entre 55 y 64 anos,49435.4155082107,41711,524956.856286526,415075,44.3423004002137,436.461619348055,2.61683738430722,2.35232745688537
2002,Casero,Entre 65 y 74 anos,44991.1271970502,32143.2,461117.396809623,294765.8,38.9498791838556,309.953522607781,2.38158135015186,1.81274320711941
2002,Casero,Mayores de 74 anos,24432.9988260284,18514.8,598658.797476428,399256.4,50.5677903184514,419.827970557308,1.29334777671822,1.04415795350726
2002,Casero,Menor de 35 anos,58484.4235275935,63372.8,513037.698242879,513449.2,43.3355074034945,539.904521556257,3.09584180315516,3.57396316222831
2002,Cesion,Entre 35 y 44 anos,24658.6432648474,17977.4,42830.5283630291,7781.6,3.61782903152846,8.18254468980021,1.30529214488004,1.01385082168759
2002,Cesion,Entre 45 y 54 anos,25675.9780155279,17883.2,94435.1111584599,1399.2,7.97678898212246,1.47129337539432,1.35914421794481,1.00853833226181
2002,Cesion,Entre 55 y 64 anos,24555.0860713226,19225.8,49596.1212743904,11732,4.18930828676348,12.3364879074658,1.2998104000086,1.08425540554258
2002,Cesion,Entre 65 y 74 anos,16680.9597497038,10347.8,36827.9361240787,1654.2,3.11079927269767,1.73943217665615,0.88299771793966,0.583573015711885
2002,Cesion,Mayores de 74 anos,12313.8765973492,8411.2,20501.0807538394,2058,1.73169484392754,2.16403785488959,0.651828497736347,0.474356805287675
2002,Cesion,Menor de 35 anos,21040.4723331701,17789.4,22833.5968844349,6169.8,1.92871890354809,6.48769716088328,1.11376619411192,1.00324840117755
2002,Propiedad,Entre 35 y 44 anos,31655.724680548,25019.4,146464.945329752,105283.6,12.371669264127,110.708307045216,1.67567892208039,1.41099042398403
2002,Propiedad,Entre 45 y 54 anos,38359.0224384678,29071.2,196777.50833285,132512.6,16.6214942847386,139.340273396425,2.03051441786284,1.63949514431699
2002,Propiedad,Entre 55 y 64 anos,35141.7505841192,25833.4,226057.525131708,133979.2,19.0947323900613,140.882439537329,1.86020984618304,1.45689664895837
2002,Propiedad,Entre 65 y 74 anos,21154.7369407799,15534,158673.679503333,110692.8,13.4029223123505,116.396214511041,1.11981473024381,0.876053192569282
2002,Propiedad,Mayores de 74 anos,13956.7978769195,9989,123458.011049728,84708.4,10.428308816662,89.0729758149317,0.738795660440574,0.563338183376758
2002,Propiedad,Menor de 35 anos,30387.0095917463,25773.2,107896.145094448,79126.2,9.11382187032851,83.2031545741325,1.60852016473447,1.453501618561
2005,Alquiler,Entre 35 y 44 anos,22994.5014861919,18660,13770.5468811933,1040,1.02976160786453,0.926751024772768,1.26075298485049,1.40457049950321
2005,Alquiler,Entre 45 y 54 anos,25412.8729339242,20559.486,32007.4230654994,1320.49,2.39351535737065,1.17669755836749,1.39334855440596,1.54754809863608
2005,Alquiler,Entre 55 y 64 anos,19287.9963935377,13562.7186,47706.7070863585,1300,3.56750794423883,1.15843878096596,1.05753103799796,1.02088930539247
2005,Alquiler,Entre 65 y 74 anos,16754.6460104254,9840,30159.2451350946,3188,2.25530859669127,2.84084833363037,0.918631351083724,0.740673832535453
2005,Alquiler,Mayores de 74 anos,12165.5107887125,7442.2,31299.9668929719,4690,2.34061177903052,4.17929067902335,0.667016158115468,0.5601872760666
2005,Alquiler,Menor de 35 anos,18238.7047760341,13285.2,13372.5580522953,1122.2,1,1,1,1
2005,Casero,Entre 35 y 44 anos,66671.4865631805,39907.4,678569.424147353,487934.868,50.7434270611284,434.80205667439,3.65549458593067,3.00389907566314
2005,Casero,Entre 45 y 54 anos,80619.1601715596,38243.59,1087654.08781123,623840.406,81.3347815397628,555.908399572269,4.4202239776091,2.87866121699335
2005,Casero,Entre 55 y 64 anos,68885.4404326484,52037.77,1164933.35810058,627117.766,87.1137260010341,558.828877205489,3.77688225554069,3.91697302261163
2005,Casero,Entre 65 y 74 anos,38023.644238143,29560.374,707640.762338181,495759.296,52.9173819676721,441.774457315986,2.08477765855975,2.22506051847168
2005,Casero,Mayores de 74 anos,28722.8242541102,21800,677307.465361712,490241.08,50.6490577728662,436.857137765104,1.57482807067815,1.6409237346822
2005,Casero,Menor de 35 anos,103207.45712388,57539,785237.46014181,640668.81,58.7200636610457,570.904304045625,5.65870539554408,4.33106012705868
2005,Cesion,Entre 35 y 44 anos,26200.8299792111,22367.49,56757.8404445822,10000,4.24435177044082,8.911067545892,1.43655102162952,1.68363968927829
2005,Cesion,Entre 45 y 54 anos,18620.6333999566,15494,40237.5734468998,1002.206,3.00896606988319,0.893072536089824,1.0209405562847,1.16626019931954
2005,Cesion,Entre 55 y 64 anos,28169.2815545355,23708.2,109636.371310436,5287.254,8.19860873900771,4.71150775262877,1.5444781798075,1.78455725167856
2005,Cesion,Entre 65 y 74 anos,14395.1715168234,8497.4,44079.2851279695,2255.212,3.29624930066417,2.00963464623062,0.78926501051428,0.639614006563695
2005,Cesion,Mayores de 74 anos,10307.9646471834,8276.86682,27189.9101580028,3067.8,2.03326170293468,2.73373730172875,0.565169773498837,0.623014092373468
2005,Cesion,Menor de 35 anos,19383.4512484829,15857.8,28554.832513953,3367.4,2.13533060782277,3.00071288540367,1.06276468019555,1.19364405503869
2005,Propiedad,Entre 35 y 44 anos,35880.8202812394,27311.086,232916.330461707,199376.12,17.4174850878085,177.665407235787,1.96728993214404,2.05575271730949
2005,Propiedad,Entre 45 y 54 anos,38952.7785313567,30360,349411.932397266,246906.506,26.1290271487953,220.020055248619,2.13572065613678,2.28524975160329
2005,Propiedad,Entre 55 y 64 anos,36182.2752929902,25716.668,383868.939551963,242986.676,28.7057224242952,216.527068258777,1.98381824462306,1.93573811459368
2005,Propiedad,Entre 65 y 74 anos,20467.0427778375,14656.194,245844.830485571,189559.186,18.3842784248278,168.917471039031,1.12217632935928,1.10319709150032
2005,Propiedad,Mayores de 74 anos,12791.3771313912,9553.458,217737.273486365,162419.52,16.2823950836386,144.733131349136,0.701331442581343,0.719105320205943
2005,Propiedad,Menor de 35 anos,31642.9861351453,25195.4,187278.72815173,130506.348,14.0047048155895,116.295088219569,1.73493603431339,1.8965013699455
2008,Alquiler,Entre 35 y 44 anos,27919.1256940784,24668.2,70792.2372026419,746.4,2.74245132560534,1.0447928331467,1.23699620352865,1.17769332862285
2008,Alquiler,Entre 45 y 54 anos,25335.6198402338,22533,42203.9789023933,693.2,1.63495832961709,0.970324748040314,1.12253033636585,1.07575598437903
2008,Alquiler,Entre 55 y 64 anos,30696.1942721966,19400,72725.0029953086,1810.8,2.81732558187458,2.53471444568869,1.36003813993139,0.926182314691925
2008,Alquiler,Entre 65 y 74 anos,17183.7255561729,13136.2,21675.7530363085,800,0.839706442356927,1.11982082866741,0.76134917362303,0.627140006301859
2008,Alquiler,Mayores de 74 anos,17818.0382493206,12088,65245.2242270979,9920,2.52756317276472,13.8857782754759,0.789453291275974,0.577097516494639
2008,Alquiler,Menor de 35 anos,22570.098125149,20946.2,25813.4890277463,714.4,1,1,1,1
2008,Casero,Entre 35 y 44 anos,53274.0750348412,49077.6,382433.205665027,224949,14.8152466043609,314.878219484882,2.36038296065182,2.34303119420229
2008,Casero,Entre 45 y 54 anos,67930.7881370348,43550,1049813.42098105,750160.2,40.6691795848532,1050.05627099664,3.00976928679553,2.07913607241409
2008,Casero,Entre 55 y 64 anos,92683.0742049312,52589.2,1446491.16940727,926200,56.0362517384795,1296.4725643897,4.10645419842717,2.51067974143281
2008,Casero,Entre 65 y 74 anos,50818.678195743,37368,1083955.8641167,650824,41.9918385674863,911.007838745801,2.25159314390032,1.78399900697979
2008,Casero,Mayores de 74 anos,52572.6591623106,26800,1113651.6292955,713991,43.1422357550529,999.427491601344,2.32930574208408,1.27946835225482
2008,Casero,Menor de 35 anos,66926.3610322739,66355,395538.491408833,135755.37,15.3229379795841,190.027113661814,2.96526672862359,3.16787770574138
2008,Cesion,Entre 35 y 44 anos,29208.8103418568,21600,117388.722096548,6200,4.54757285891764,8.67861142217245,1.29413749908825,1.03121329883225
2008,Cesion,Entre 45 y 54 anos,25246.7924744633,21035,78585.9638762993,12808.8,3.04437589943107,17.929451287794,1.11859471476253,1.00423943245075
2008,Cesion,Entre 55 y 64 anos,26304.1509324529,21839.2,94667.7655764899,3038.4,3.66737582334313,4.25307950727884,1.16544247112259,1.04263303128969
2008,Cesion,Entre 65 y 74 anos,23044.6672451135,20377.6,15530.4915345093,932.8,0.601642479163352,1.3057110862262,1.02102645355519,0.97285426473537
2008,Cesion,Mayores de 74 anos,11371.1685869883,10699.2,54085.4208659758,1073.2,2.09523868733284,1.50223964165734,0.503815646876512,0.510794320688239
2008,Cesion,Menor de 35 anos,22830.7354027871,22186.4,-142.220343285947,17,-0.0055095358528666,0.0237961926091825,1.01154790183866,1.05920883024128
2008,Propiedad,Entre 35 y 44 anos,36164.7079667735,29792,227546.11091925,184273.6,8.81500794699492,257.941769316909,1.60232834461967,1.42231049068566
2008,Propiedad,Entre 45 y 54 anos,43227.0848837259,32510,333214.807312845,216834.208,12.9085536230565,303.519328107503,1.91523690522017,1.55207149745539
2008,Propiedad,Entre 55 y 64 anos,40652.6995227983,31100,416425.081358177,284740,16.1320726892274,398.572228443449,1.80117513434736,1.48475618489273
2008,Propiedad,Entre 65 y 74 anos,23415.7077166925,17124,313151.288671997,207838.4,12.1313042314969,290.927211646137,1.03746592446584,0.81752298746312
2008,Propiedad,Mayores de 74 anos,15321.4384934804,10529.6,266110.077957809,167646.4,10.3089542708378,234.667413213886,0.67883792124095,0.502697386638149
2008,Propiedad,Menor de 35 anos,34853.4527391731,28883.6,195498.473782781,122034.1,7.57350056680228,170.820408734602,1.54423133412687,1.37894224250699
2011,Alquiler,Entre 35 y 44 anos,26594.5472235584,17886.4,10493.2672178015,925,0.164561317962116,0.185,0.939292959001464,0.841839712333151
2011,Alquiler,Entre 45 y 54 anos,29619.2502978965,18158.2,69306.645600404,2364,1.08690579462107,0.4728,1.04612246344511,0.85463222697065
2011,Alquiler,Entre 55 y 64 anos,17988.6499257855,13100,32007.4773327702,1450,0.50195926065693,0.29,0.635341225221719,0.616563435434983
