year,gini,se
2002,0.524952044158464,0.00720459416551874
2005,0.505753560283711,0.00751991821071968
2008,0.514590800821596,0.00809293672681915
2011,0.512213049941613,0.00862677195694868
2014,0.55741123119038,0.00968265632710331
2017,0.594437539385079,0.00845023905305018
2020,0.597302907024902,0.0131419530528048
2022,0.6042498255325,0.00871018308874927
