year,bage,homeownership_rate,ratio_homeownership
2002,Entre 35 y 44 anos,0.781578524160155,1.18385976246269
2002,Entre 45 y 54 anos,0.821243003617742,1.24393969016966
2002,Entre 55 y 64 anos,0.872146799335348,1.32104385007663
2002,Entre 65 y 74 anos,0.87226824622426,1.32122780610998
2002,Mayores de 74 anos,0.834286503038423,1.26369672500176
2002,Menor de 35 anos,0.660195192827823,1
2005,Entre 35 y 44 anos,0.776947924829909,1.27862754437072
2005,Entre 45 y 54 anos,0.842446125049616,1.38641829872014
2005,Entre 55 y 64 anos,0.877601382708649,1.44427350282809
2005,Entre 65 y 74 anos,0.873190872883959,1.43701510214725
2005,Mayores de 74 anos,0.836537645649391,1.3766946811326
2005,Menor de 35 anos,0.60764209894468,1
2008,Entre 35 y 44 anos,0.76693053553035,1.18985356609397
2008,Entre 45 y 54 anos,0.852101668103953,1.32199222940966
2008,Entre 55 y 64 anos,0.883916157969531,1.37135078597547
2008,Entre 65 y 74 anos,0.881901728903836,1.3682255021376
2008,Mayores de 74 anos,0.874820990596168,1.35724009819859
2008,Menor de 35 anos,0.644558756963694,1
2011,Entre 35 y 44 anos,0.775942005720292,1.11911560494672
2011,Entre 45 y 54 anos,0.82527570013659,1.19026796796347
2011,Entre 55 y 64 anos,0.874377338285716,1.26108564386712
2011,Entre 65 y 74 anos,0.885713723007162,1.27743573827099
2011,Mayores de 74 anos,0.879001985727818,1.26775562059435
2011,Menor de 35 anos,0.693352860321552,1
2014,Entre 35 y 44 anos,0.747697771415842,1.50980723699194
2014,Entre 45 y 54 anos,0.822378195944576,1.66060753321538
2014,Entre 55 y 64 anos,0.869087555840013,1.7549265646495
2014,Entre 65 y 74 anos,0.886599047347053,1.79028707743769
2014,Mayores de 74 anos,0.875746722738834,1.76837325228257
2014,Menor de 35 anos,0.495227306570285,1
2017,Entre 35 y 44 anos,0.704352893404653,1.7069123461672
2017,Entre 45 y 54 anos,0.76123640680183,1.84476252357142
2017,Entre 55 y 64 anos,0.833098255490096,2.01891084878307
2017,Entre 65 y 74 anos,0.842457386862793,2.04159154909543
2017,Mayores de 74 anos,0.824158725311508,1.99724700020142
2017,Menor de 35 anos,0.412647371721371,1
2020,Entre 35 y 44 anos,0.648525110386821,1.79829896348482
2020,Entre 45 y 54 anos,0.739039290729934,2.04928624845612
2020,Entre 55 y 64 anos,0.816629865038317,2.26443759282231
2020,Entre 65 y 74 anos,0.831647488333503,2.30608004578705
2020,Mayores de 74 anos,0.834369871377272,2.31362895719759
2020,Menor de 35 anos,0.36063253305228,1
2022,Entre 35 y 44 anos,0.618122320692213,1.94278417246055
2022,Entre 45 y 54 anos,0.717755726633801,2.25593611283197
2022,Entre 55 y 64 anos,0.787550367217676,2.47530357216766
2022,Entre 65 y 74 anos,0.830452239282221,2.6101459411062
2022,Mayores de 74 anos,0.839834246161678,2.63963397909019
2022,Menor de 35 anos,0.31816314413832,1
