year,total_bottom_50,total_top_1,rati050_1
2002,288483670977.9,175811962242.971,0.609434709586871
2005,661222512430.696,307259091742.32,0.464683349350608
2008,793657606964.537,423740306990.751,0.533908203326382
2011,690382190442.867,421056529812.403,0.60988903775502
2014,526808596953.135,477093712862.2,0.905630082009922
2017,460681637607.23,540736245427.013,1.17377425381134
2020,472275290055.332,573486491705.916,1.21430552006802
2022,539067859919.529,607754831363.983,1.12741804242365
