year,regten,mean_renthog,median_renthog,mean_riquezanet,median_riquezanet,ratio_mean_wealth_alq,ratio_median_wealth_alq,ratio_mean_income_alq,ratio_median_income_alq,mean_renthog_IPC,median_renthog_IPC,mean_riquezanet_IPC,median_riquezanet_IPC
2002,Alquiler,20167.6776305624,17075.2,18834.2835518531,1078,1,1,1,1,30040.1090939824,25433.809494468,28053.9952576031,1605.69988258038
2002,Propiedad,29428.073732959,22192.2,164695.853778877,109376.8,8.74447139576341,101.462708719852,1.45917017675666,1.29967438155922,43833.6312964555,33055.6706254177,245317.359066993,162918.659477753
2002,Cesion,21965.5779483203,16585.8,48839.3933334656,3367.6,2.59311129085451,3.1239332096475,1.08914761286314,0.971338549475262,32718.1131098591,24704.8396219867,72747.1318560694,5016.09918791994
2002,Casero1,42513.4021848446,33339.4,433498.53291759,294494,23.0164599425359,273.185528756957,2.10799691286315,1.95250421664168,63324.4572321869,49659.62028321,645703.658074714,438653.971447706
2002,Casero2,60792.8725390347,48589,698038.202929129,586800,37.0621054423092,544.341372912802,3.01437149346876,2.84558892428786,90552.0485135919,72374.1665999055,1039740.13031533,874048.878569729
2002,Casero3,130306.887158472,97628,1839944.68351102,845979.6,97.6912489633824,784.767717996289,6.4611746352492,5.71753185907047,194094.390918157,145418.61608215,2740629.83512805,1260101.43263952
2005,Alquiler,20036.7361281612,15367.6,21311.1922158104,1373.2,1,1,1,1,27288.0758317153,20929.1688760665,29023.7604333149,1870.16415709769
2005,Propiedad,30768.5486502102,22523.574,278830.111180933,201267.192,13.0837406165421,146.568010486455,1.53560682006316,1.46565332257477,41903.7553535827,30674.9059019353,379739.353226147,274106.239788887
2005,Cesion,20569.8609452018,16356,51147.1887238605,3813,2.40001536309711,2.77672589571803,1.02660736826749,1.06431713475103,28014.1397146811,22275.2730508956,69657.4709348057,5192.93324425685
2005,Casero1,60190.0400158285,35110,777795.186119366,513552.26,36.4970283334188,373.982129332945,3.00398426324698,2.28467685259897,81972.9503727631,47816.387675284,1059281.00687705,699407.973673547
2005,Casero2,65612.16987095,48257.864,1172079.29298443,1010082.1,54.9982976604607,735.568089134868,3.27459369885764,3.14023425909055,89357.3611724846,65722.4931189157,1596257.41553735,1375633.07540487
2005,Casero3,84227.61154799,39287.584,2040790.19489215,1051024.2,95.7614278087234,765.383192542965,4.20365926911668,2.55652047164164,114709.772906349,53505.8486861089,2779356.73947256,1431392.21313886
2005,Casero4+,62314.7669172866,45869.356,1770443.98249095,1385933.9,83.0757831172624,1009.27315758812,3.11002583048965,2.98480933912908,84866.6207009951,62469.5787214929,2411171.62700544,1887506.4840421
2008,Alquiler,24493.8069979416,20683,48700.6728354361,960,1,1,1,1,29985.5597555346,25320.3322977046,59619.8433164936,1175.24145461473
2008,Propiedad,33391.0090090751,25951.2,298892.270269322,199690.2,6.1373334877591,208.010625,1.36324292144056,1.25471159889765,40877.6020821655,31769.7146218726,365906.860921267,244462.709500318
2008,Cesion,23736.6698578015,19236.4,64235.5172900253,2713.4,1.31898623879557,2.82645833333333,0.96908862961957,0.930058502151526,29058.6650118668,23549.390330782,78637.7528936029,3321.77100307458
2008,Casero1,58228.6511748954,43550,837851.846927072,563035.496,17.2041123488837,586.495308333333,2.3772805582974,2.10559396605908,71284.0882364975,53314.3389046576,1025706.4826398,689273.599290379
2008,Casero2,103215.569500027,48076.2,1758454.81536762,788923.4,36.1074028958407,821.795208333333,4.21394557035178,2.32443069187255,126357.516706353,58855.3575211964,2152717.70321553,965807.796037079
2008,Casero3,74151.3946374324,43580,864421.744563328,589474,17.7496879249345,614.035416666667,3.02735277711888,2.10704443262583,90776.8675993819,53351.0652001143,1058233.61300126,721639.876268293
2008,Casero4+,37600.9375759497,32400,1607791.33655843,1068382,33.0137397072787,1112.89791666667,1.53512018687457,1.56650389208529,46031.4380954548,39664.399093247,1968273.98863946,1307923.76642103
2011,Alquiler,25461.3360809728,17316.2,46844.5583346865,2041,1,1,1,1,29636.7810364355,20155.9111490082,54526.6718800009,2375.70683262642
2011,Propiedad,33115.9639211078,24960,267719.348522329,174730.2,5.71505758704302,85.6100930916218,1.30063731988736,1.44142479296843,38546.703457318,29053.2300550493,311623.069824004,203384.48309955
2011,Cesion,18866.8422751113,14360,61433.4487409911,7620,1.31143191279706,3.73346398824106,0.740999695189227,0.829281251082801,21960.8457143885,16714.9192143633,71508.0176020469,8869.61590622898
2011,Casero1,61209.0099655815,44169.8,678418.094384054,380432.2,14.4823244897949,186.39500244978,2.40399835149746,2.55077903928114,71246.7727552821,51413.275676503,789672.955514745,442819.88088736
2011,Casero2,109019.799991869,52500,1941433.25961486,987424.2,41.4441576275318,483.794316511514,4.28177844419323,3.0318430140562,126898.130197084,61109.5584090579,2259811.98429947,1149353.46332223
2011,Casero3,62688.7280576036,42754.2,1443704.57602503,980314,30.8190455273441,480.310632043116,2.46211462973661,2.46902900174403,72969.1521681081,49765.5291834771,1680459.9831243,1141077.25032795
2011,Casero4+,169641.467486295,145900,3094163.29465639,1830531.4,66.0517124006117,896.879666829985,6.66270878114161,8.42563610953904,197461.241256229,169826.372797744,3601580.04918034,2130723.15253171
2014,Alquiler,24841.7705556813,15740,56509.2355537718,860,1,1,1,1,27553.6606898887,17458.2813365395,62678.1532662343,953.883224232781
2014,Propiedad,31027.5264151053,24012.8,252584.358824577,143954.2,4.46978898846062,167.388604651163,1.24900623913094,1.52559085133418,34414.6941125679,26634.1942870429,280158.119286462,159669.181904477
2014,Cesion,18465.2286074126,15463.2,41308.9066780507,1862.6,0.731011599665737,2.16581395348837,0.743313708901059,0.982414231257941,20481.0137212025,17151.2640383213,45818.4570832442,2065.93359704183
2014,Casero1,48000.6634257487,40785.2,582459.492477853,338784.6,10.3073327177397,393.935581395349,1.93225612957652,2.59118170266836,53240.7297603089,45237.5791592777,646044.579848562,375768.54252141
2014,Casero2,70521.5648064022,47040,1326578.69101907,613642.056,23.4754315470567,713.537274418605,2.83883005232386,2.98856416772554,78220.1600179906,52175.1940324535,1471396.69649741,680631.235932689
2014,Casero3,88954.4193328396,60753.8,1742427.97634125,852800,30.8343929848995,991.627906976744,3.58084054972868,3.85983481575604,98665.2654918184,67386.082126039,1932642.80937883,945897.225146181
2014,Casero4+,72377.3660336563,82854.4,1334558.90619126,1221463.3,23.6166512095416,1420.3061627907,2.91353492181352,5.26393900889454,80278.552643791,91899.3281556657,1480248.08414685,1354806.22196048
2017,Alquiler,23072.1861017914,17623.4,33372.5140919421,1392,1,1,1,1,25256.5009069574,19291.861469907,36531.9926214162,1523.78492039621
2017,Propiedad,34371.2849012177,26862.4,260997.057248346,147578.4,7.82071906627388,106.018965517241,1.48972814060948,1.5242461727022,37625.3201344235,29405.5460098069,285706.451223287,161550.100931178
